acc,Acidimicrobiia,Acidithiobacillia,Actinomycetes,Actinopteri,Agaricomycetes,Alphaproteobacteria,Amphibia,Anaerolineae,Aquificae,Archaeoglobi,Ardenticatenia,Arfiviricetes,Armatimonadia,Aves,Bacilli,Bacteriovoracia,Bacteroidia,Balneolia,Bdellovibrionia,Betaproteobacteria,Bigyra,Blastocatellia,Caldilineae,Calditrichia,Candidatus Nanoperiomorbia,Candidatus Nanosyncoccalia,Candidatus Saccharimonadia,Caudoviricetes,Cephalopoda,Chitinispirillia,Chitinivibrionia,Chitinophagia,Chlamydiia,Chlorobiia,Chloroflexia,Chlorophyceae,Chrymotiviricetes,Chrysiogenetes,Chthonomonadetes,Clitellata,Clostridia,Coprothermobacteria,Coriobacteriia,Culicoidibacteria,Cyanophyceae,Cytophagia,Deferribacteres,Deferrisomatia,Dehalococcoidia,Deinococci,Deltaproteobacteria,Desulfarculia,Desulfobaccia,Desulfobacteria,Desulfobulbia,Desulfomonilia,Desulfovibrionia,Desulfurellia,Desulfuribacillia,Desulfuromonadia,Dothideomycetes,Duplopiviricetes,Elusimicrobia,Endomicrobiia,Epsilonproteobacteria,Erysipelotrichia,Eumycetozoa,Eurotiomycetes,Faserviricetes,Fibrobacteria,Fimbriimonadia,Flavobacteriia,Fusobacteriia,Gammaproteobacteria,Gastropoda,Gemmatimonadetes,Halobacteria,Herviviricetes,Holophagae,Hydrogenophilia,Hydrozoa,Ignavibacteria,Insecta,Kiritimatiellia,Ktedonobacteria,Lentisphaeria,Lepidosauria,Limnochordia,Longimicrobiia,Magnoliopsida,Malacostraca,Malgrandaviricetes,Mammalia,Megaviricetes,Methanobacteria,Methanomicrobia,Mollicutes,Myxococcia,Negativicutes,Nitriliruptoria,Nitrospinia,Nitrospiria,Oligoflexia,Oligohymenophorea,Oligosphaeria,Opitutae,Papovaviricetes,Phycisphaerae,Pisoniviricetes,Planctomycetia,Pokkesviricetes,Pucciniomycetes,Quintoviricetes,Repensiviricetes,Revtraviricetes,Rhodothermia,Rubrobacteria,Saccharomycetes,Saprospiria,Sordariomycetes,Spartobacteria,Sphingobacteriia,Spirochaetia,Stelpaviricetes,Synergistia,Syntrophia,Syntrophobacteria,Syntrophorhabdia,Tectiliviricetes,Terriglobia,Terrimicrobiia,Thermoanaerobaculia,Thermococci,Thermodesulfobacteria,Thermodesulfovibrionia,Thermoflexia,Thermoleophilia,Thermolithobacteria,Thermomicrobia,Thermoplasmata,Thermoprotei,Thermotogae,Tissierellia,Tolucaviricetes,Verrucomicrobiae,Vicinamibacteria,Vidaverviricetes,Zetaproteobacteria,class
SRR27176114,5.0,0.0,26596.0,0.0,0.0,706.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9039.0,0.0,5626864.0,0.0,0.0,78913.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,153547.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1358555.0,0.0,51875.0,0.0,29.0,243.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,28.0,0.0,0.0,45637.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,9.0,5823.0,0.0,0.0,1101.0,14.0,0.0,31.0,33.0,10722.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,4.0,0.0,441.0,2903.0,0.0,96.0,0.0,1.0,3.0,43679.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,8.0,15.0,0.0,5.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,21.0,0.0,80185.0,0.0,0.0,0.0,1
SRR27176115,0.0,2.0,2256.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,463.0,0.0,8109455.0,0.0,3.0,26524.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,741344.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,779009.0,0.0,25892.0,0.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,67232.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,16.0,3387.0,0.0,0.0,136.0,0.0,0.0,9.0,0.0,2410.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,18.0,447.0,0.0,0.0,0.0,0.0,0.0,21887.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1
SRR27176116,1.0,0.0,3550.0,0.0,0.0,103.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2129.0,0.0,11048534.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32643.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2810947.0,0.0,84926.0,0.0,2.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,9730.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,35.0,26064.0,0.0,0.0,63.0,0.0,0.0,13.0,4.0,3904.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,31.0,1961.0,0.0,0.0,0.0,5.0,3.0,4275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,41.0,0.0,23.0,0.0,0.0,1.0,1
SRR27176117,1.0,7.0,23427.0,0.0,0.0,3261.0,0.0,26.0,2.0,0.0,0.0,0.0,0.0,2.0,2392.0,0.0,755280.0,0.0,0.0,23202.0,0.0,1.0,0.0,1.0,31.0,0.0,115.0,268170.0,0.0,3.0,0.0,131.0,4.0,2.0,1.0,0.0,0.0,0.0,7.0,0.0,1502640.0,0.0,37184.0,0.0,92.0,555.0,0.0,17.0,1.0,153.0,0.0,0.0,0.0,23.0,0.0,0.0,736.0,0.0,0.0,75.0,0.0,2.0,0.0,6.0,38.0,10495.0,0.0,0.0,14129.0,162.0,0.0,222.0,21.0,4960.0,0.0,17.0,39.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,6893.0,0.0,14.0,0.0,2.0,0.0,113.0,4278.0,0.0,2435.0,2.0,74.0,142.0,166386.0,18.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,7.0,0.0,0.0,11.0,48.0,0.0,4293.0,5.0,0.0,1.0,10.0,103.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,1.0,0.0,6102.0,0.0,38.0,245.0,0.0,689146.0,0.0,0.0,0.0,1
SRR27176118,0.0,0.0,126144.0,0.0,0.0,1171.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,4537.0,1.0,9837712.0,1.0,0.0,38994.0,0.0,0.0,3.0,0.0,3.0,3.0,84.0,176010.0,0.0,0.0,0.0,7.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3630638.0,0.0,23278.0,0.0,25.0,116.0,0.0,1.0,3.0,95.0,0.0,0.0,0.0,2.0,0.0,0.0,29360.0,0.0,0.0,22.0,0.0,2.0,0.0,0.0,2.0,9483.0,0.0,0.0,2089.0,42.0,1.0,94.0,7.0,19628.0,0.0,0.0,134.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,29.0,0.0,60.0,0.0,53.0,243.0,0.0,0.0,0.0,104.0,51.0,932460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,35.0,40.0,0.0,178194.0,0.0,0.0,3.0,1
SRR27176119,0.0,0.0,155498.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,8656550.0,0.0,0.0,283891.0,0.0,0.0,0.0,0.0,9.0,0.0,57.0,44864.0,0.0,0.0,0.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,641646.0,0.0,39135.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,189031.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,157.0,2564.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,14511.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,514.0,783.0,0.0,0.0,0.0,0.0,0.0,11917.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,27.0,0.0,0.0,0.0,1
SRR27176120,22.0,0.0,71707.0,0.0,0.0,1010.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,3941.0,0.0,5079319.0,0.0,0.0,116194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97246.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2461073.0,0.0,39343.0,0.0,29.0,59.0,8.0,7.0,0.0,27.0,0.0,0.0,0.0,5.0,0.0,0.0,15650.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,80.0,3851.0,0.0,0.0,2632.0,6.0,0.0,27.0,12.0,717975.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6925.0,0.0,0.0,1.0,0.0,0.0,88.0,1560.0,0.0,28.0,0.0,49.0,18.0,73573.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,63.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,47.0,0.0,301676.0,0.0,0.0,0.0,1
SRR27176121,7.0,0.0,84438.0,0.0,0.0,1574.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,6296.0,0.0,3801161.0,0.0,0.0,63180.0,0.0,0.0,2.0,0.0,0.0,0.0,90.0,368213.0,0.0,0.0,0.0,35.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2491612.0,0.0,19844.0,0.0,66.0,201.0,13.0,4.0,0.0,78.0,0.0,9.0,0.0,0.0,3.0,0.0,25570.0,0.0,0.0,45.0,0.0,1.0,0.0,1.0,3807.0,35638.0,0.0,0.0,3280.0,2.0,0.0,170.0,211.0,18867.0,0.0,0.0,67.0,0.0,4.0,0.0,0.0,1.0,6.0,5.0,4.0,14449.0,0.0,14.0,30.0,5.0,0.0,551.0,3362.0,7.0,1617.0,0.0,179.0,19.0,46251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,0.0,0.0,0.0,0.0,8.0,174.0,0.0,53.0,0.0,0.0,0.0,46.0,26.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,223.0,0.0,39.0,0.0,0.0,0.0,1
SRR27176122,5.0,0.0,24943.0,0.0,0.0,1328.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1599.0,0.0,5320436.0,0.0,0.0,158515.0,243.0,0.0,9.0,0.0,0.0,0.0,82.0,138826.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1246017.0,0.0,26565.0,0.0,159.0,138.0,0.0,5.0,0.0,48.0,0.0,0.0,0.0,3.0,0.0,0.0,390315.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,19.0,1943.0,0.0,0.0,7438.0,56.0,0.0,36.0,9.0,4360.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13880.0,0.0,1.0,6.0,57.0,0.0,400.0,461.0,0.0,12.0,5.0,27.0,19.0,72722.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,47.0,45.0,0.0,3960.0,1.0,3.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,13.0,68.0,0.0,52419.0,0.0,0.0,0.0,1
SRR27176123,1.0,0.0,2473.0,0.0,0.0,545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4162.0,0.0,7806865.0,0.0,0.0,292093.0,0.0,0.0,0.0,0.0,0.0,0.0,519.0,99515.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2255379.0,0.0,100148.0,0.0,281.0,407.0,1.0,0.0,0.0,33.0,0.0,0.0,0.0,3.0,0.0,0.0,38073.0,1.0,0.0,30.0,0.0,2.0,0.0,0.0,39.0,10734.0,0.0,0.0,572.0,1.0,0.0,242.0,5.0,239930.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,231.0,0.0,7.0,8.0,0.0,0.0,256.0,245153.0,1.0,4.0,3.0,2.0,4.0,77064.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,129.0,39.0,0.0,29.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,88.0,0.0,6854.0,0.0,0.0,2.0,1
