acc,Bamfordvirae,Fungi,Heunggongvirae,Loebvirae,Metazoa,Orthornavirae,Pararnavirae,Sangervirae,Shotokuvirae,Viridiplantae,class
SRR27176114,0.0,11.0,153547.0,1101.0,3011.0,0.0,0.0,441.0,1.0,4.0,1
SRR27176115,0.0,0.0,741344.0,136.0,465.0,0.0,0.0,18.0,0.0,7.0,1
SRR27176116,0.0,0.0,32643.0,63.0,1989.0,0.0,0.0,31.0,0.0,45.0,1
SRR27176117,10.0,0.0,268170.0,14129.0,4678.0,2.0,0.0,113.0,0.0,2.0,1
SRR27176118,0.0,0.0,176010.0,2089.0,272.0,4.0,0.0,53.0,3.0,60.0,1
SRR27176119,0.0,0.0,44864.0,4.0,806.0,0.0,0.0,514.0,0.0,11.0,1
SRR27176120,0.0,0.0,97246.0,2632.0,1615.0,0.0,0.0,88.0,16.0,0.0,1
SRR27176121,53.0,0.0,368213.0,3280.0,3547.0,1.0,0.0,551.0,5.0,5.0,1
SRR27176122,2.0,0.0,138826.0,7438.0,652.0,0.0,0.0,400.0,8.0,58.0,1
SRR27176123,1.0,0.0,99515.0,572.0,247571.0,2.0,0.0,256.0,2.0,0.0,1
SRR27176124,1.0,5.0,226016.0,442.0,24771.0,4.0,0.0,127.0,3.0,2.0,1
SRR27176125,5.0,0.0,168867.0,2697.0,8249.0,13.0,0.0,182.0,0.0,177.0,1
SRR27176126,0.0,0.0,71483.0,203.0,991.0,0.0,0.0,88.0,1.0,2.0,1
SRR27176127,0.0,99.0,140025.0,529.0,43199.0,0.0,0.0,193.0,0.0,10.0,1
SRR27176128,0.0,0.0,185268.0,1433.0,543.0,2.0,0.0,203.0,6.0,247.0,1
SRR27176129,0.0,0.0,37160.0,81.0,368087.0,0.0,0.0,31.0,7.0,36.0,1
SRR27176130,0.0,0.0,109999.0,5777.0,3030.0,1.0,0.0,41.0,12.0,2683.0,1
SRR27176131,1.0,0.0,81888.0,1108.0,16387.0,6.0,0.0,91.0,1.0,102.0,1
SRR27176132,0.0,24.0,41347.0,337.0,13667.0,4.0,0.0,87.0,0.0,55.0,1
SRR27176133,0.0,0.0,105905.0,1361.0,776.0,4.0,0.0,263.0,2.0,23.0,1
SRR27176134,0.0,13.0,309199.0,8456.0,584.0,3.0,0.0,295.0,2.0,686.0,1
SRR27176135,3.0,20.0,416829.0,3253.0,255454.0,35.0,0.0,286.0,2.0,1017.0,1
SRR27176136,134.0,0.0,40794.0,211.0,1540.0,1.0,0.0,30.0,0.0,78.0,1
SRR27176137,1.0,82.0,81278.0,1489.0,775.0,1.0,0.0,61.0,4.0,126.0,1
SRR27176138,0.0,0.0,248418.0,7784.0,18860.0,2.0,0.0,159.0,0.0,14.0,1
SRR27176139,0.0,0.0,198083.0,1793.0,695.0,0.0,0.0,350.0,9.0,78.0,1
SRR27176140,0.0,0.0,46769.0,411.0,707.0,0.0,0.0,340.0,0.0,0.0,1
SRR27176142,0.0,49.0,187112.0,2759.0,5702.0,1.0,0.0,1204.0,1.0,159.0,1
SRR27176144,1.0,41.0,294444.0,10129.0,35118.0,5.0,0.0,1709.0,1.0,847.0,1
SRR27176145,2488.0,267.0,509921.0,8666.0,61990.0,2.0,0.0,195.0,23.0,32.0,1
SRR27176147,7.0,0.0,585859.0,9147.0,11540.0,21.0,0.0,361.0,2.0,847.0,1
SRR27176148,0.0,0.0,795816.0,984.0,2099.0,0.0,2.0,187.0,1.0,182.0,1
SRR27176149,0.0,0.0,503119.0,920.0,1099.0,59.0,0.0,1931.0,39.0,61.0,1
SRR27176150,1.0,0.0,570593.0,1184.0,18651.0,5.0,0.0,229.0,0.0,119.0,1
SRR27176151,34.0,0.0,568181.0,2973.0,5027.0,17.0,0.0,1466.0,76.0,1407.0,1
SRR27176152,0.0,0.0,22956.0,4.0,970.0,0.0,0.0,123.0,0.0,0.0,1
SRR27176153,0.0,0.0,173323.0,2374.0,1038.0,0.0,0.0,3.0,0.0,207.0,1
SRR27176154,2.0,0.0,60897.0,675.0,3861.0,0.0,0.0,62.0,0.0,189.0,1
SRR27176155,0.0,0.0,128489.0,373.0,504.0,0.0,0.0,429.0,0.0,863.0,1
SRR27176156,14.0,0.0,441059.0,4819.0,41092.0,4.0,0.0,1243.0,18.0,55.0,1
SRR27176158,0.0,0.0,179509.0,3513.0,7445.0,3.0,0.0,1765.0,2.0,437.0,1
SRR27176161,0.0,0.0,77024.0,935.0,10932.0,0.0,0.0,167.0,6.0,0.0,1
SRR27176162,209.0,221.0,380350.0,6457.0,193089.0,7.0,0.0,176.0,18.0,2050.0,1
SRR27176163,0.0,0.0,61615.0,287.0,381239.0,0.0,0.0,116.0,0.0,2356.0,1
SRR27176164,0.0,11.0,144616.0,1957.0,17152.0,12.0,0.0,246.0,0.0,805.0,1
SRR27176165,54.0,0.0,412390.0,954.0,735.0,2.0,0.0,160.0,0.0,14.0,1
SRR27176168,0.0,16.0,127436.0,4729.0,1903.0,0.0,0.0,479.0,0.0,0.0,1
SRR27176174,0.0,0.0,83969.0,864.0,2050.0,0.0,0.0,108.0,5.0,19.0,1
SRR27176175,0.0,0.0,75921.0,311.0,3375.0,0.0,0.0,5194.0,5.0,741.0,1
SRR27445729,9.0,0.0,445092.0,6661.0,4922.0,12.0,0.0,200.0,5.0,90.0,0
SRR27445733,0.0,0.0,198041.0,1818.0,22340.0,0.0,0.0,169.0,5.0,31.0,0
SRR27445735,0.0,0.0,40422.0,138.0,1591.0,0.0,0.0,170.0,1.0,0.0,0
SRR27445736,0.0,298.0,107479.0,5360.0,17789.0,2.0,0.0,458.0,0.0,61.0,0
SRR27445737,1.0,38.0,267943.0,8424.0,4619.0,6.0,0.0,2742.0,21.0,21.0,0
SRR27445738,0.0,0.0,150194.0,3637.0,11824.0,0.0,0.0,583.0,0.0,1043.0,0
SRR27445739,2.0,0.0,207638.0,6737.0,1465.0,4.0,0.0,1140.0,1.0,2505.0,0
SRR27445740,0.0,0.0,33897.0,532.0,274.0,0.0,0.0,54.0,0.0,98.0,0
SRR27445744,0.0,0.0,205282.0,118.0,6631.0,0.0,0.0,757.0,14.0,40.0,0
SRR27445745,0.0,374.0,513180.0,14741.0,834.0,4.0,0.0,190.0,4.0,127.0,0
