acc,Acidobacteriota,Actinomycetota,Annelida,Aquificota,Armatimonadota,Arthropoda,Artverviricota,Ascomycota,Bacillota,Bacteroidota,Balneolota,Basidiomycota,Bdellovibrionota,Calditrichota,Campylobacterota,Candidatus Melainabacteria,Candidatus Saccharibacteria,Candidatus Thermoplasmatota,Chlamydiota,Chlorobiota,Chloroflexota,Chlorophyta,Chordata,Chrysiogenota,Ciliophora,Cnidaria,Coprothermobacterota,Cossaviricota,Cressdnaviricota,Cyanobacteriota,Deferribacterota,Deinococcota,Duplornaviricota,Elusimicrobiota,Euryarchaeota,Evosea,Fibrobacterota,Fusobacteriota,Gemmatimonadota,Hofneiviricota,Ignavibacteriota,Kiritimatiellota,Kitrinoviricota,Lentisphaerota,Mollusca,Mycoplasmatota,Myxococcota,Nitrososphaerota,Nitrospinota,Nitrospirota,Nucleocytoviricota,Oomycota,Parabasalia,Peploviricota,Phixviricota,Pisuviricota,Planctomycetota,Preplasmiviricota,Pseudomonadota,Rhodothermota,Spirochaetota,Streptophyta,Synergistota,Thermodesulfobacteriota,Thermomicrobiota,Thermoproteota,Thermotogota,Uroviricota,Verrucomicrobiota,class
SRR27176114,11.0,78741.0,0.0,0.0,0.0,0.0,0.0,8.0,1520769.0,5652754.0,0.0,0.0,0.0,0.0,9.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,2929.0,1.0,0.0,0.0,0.0,0.0,1.0,29.0,0.0,9.0,0.0,0.0,96.0,0.0,14.0,33.0,0.0,1101.0,0.0,0.0,0.0,2.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441.0,0.0,4.0,0.0,91453.0,1.0,15.0,4.0,5.0,45734.0,0.0,0.0,13.0,153547.0,80185.0,1
SRR27176115,1.0,28241.0,0.0,0.0,0.0,0.0,0.0,0.0,841131.0,8127486.0,0.0,0.0,3.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,456.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,29283.0,0.0,3.0,7.0,44.0,67243.0,0.0,0.0,0.0,741344.0,3.0,1
SRR27176116,1.0,88773.0,0.0,0.0,0.0,0.0,0.0,0.0,2988344.0,11082272.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1982.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,1.0,0.0,4402.0,0.0,5.0,45.0,3.0,9738.0,0.0,0.0,6.0,32643.0,27.0,1
SRR27176117,106.0,62030.0,0.0,2.0,25.0,4.0,0.0,0.0,1868434.0,765743.0,0.0,0.0,0.0,1.0,38.0,0.0,152.0,6102.0,4.0,2.0,50.0,0.0,4394.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,153.0,0.0,6.0,2479.0,0.0,165.0,21.0,17.0,14129.0,1.0,6.0,0.0,6893.0,0.0,103.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,2.0,28.0,10.0,35758.0,0.0,48.0,2.0,4293.0,924.0,0.0,0.0,38.0,268170.0,689345.0,1
SRR27176118,6.0,150321.0,0.0,0.0,1.0,0.0,0.0,0.0,4790165.0,9848701.0,1.0,0.0,1.0,0.0,2.0,0.0,125.0,0.0,0.0,3.0,57.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,3.0,25.0,0.0,95.0,0.0,0.0,134.0,0.0,42.0,7.0,0.0,2089.0,0.0,0.0,0.0,68.0,0.0,202.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,4.0,3.0,0.0,61580.0,0.0,9.0,60.0,9.0,29403.0,1.0,0.0,35.0,176010.0,178198.0,1
SRR27176119,1.0,194914.0,0.0,0.0,0.0,0.0,0.0,0.0,666074.0,8687320.0,0.0,0.0,0.0,0.0,157.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,799.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514.0,0.0,0.0,0.0,298961.0,0.0,0.0,11.0,78.0,189514.0,0.0,0.0,0.0,44864.0,32.0,1
SRR27176120,1.0,112082.0,0.0,0.0,1.0,0.0,0.0,0.0,2641791.0,5102331.0,0.0,0.0,0.0,0.0,80.0,0.0,40.0,0.0,0.0,1.0,34.0,0.0,1589.0,0.0,0.0,0.0,0.0,0.0,16.0,29.0,8.0,27.0,0.0,0.0,96.0,0.0,6.0,12.0,1.0,2632.0,2.0,0.0,0.0,6925.0,0.0,74.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,6.0,0.0,873390.0,0.0,63.0,0.0,63.0,15723.0,0.0,0.0,15.0,97246.0,301678.0,1
SRR27176121,31.0,105986.0,0.0,4.0,0.0,13.0,0.0,0.0,2727967.0,3823902.0,0.0,0.0,0.0,0.0,3807.0,0.0,110.0,0.0,0.0,1.0,14.0,0.0,3430.0,1.0,0.0,0.0,0.0,0.0,5.0,66.0,13.0,78.0,0.0,1.0,1684.0,0.0,2.0,211.0,30.0,3280.0,1.0,5.0,0.0,14450.0,0.0,219.0,27.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,551.0,1.0,26.0,46.0,86025.0,1.0,174.0,5.0,53.0,25650.0,0.0,0.0,60.0,368213.0,40.0,1
SRR27176122,4.0,51879.0,0.0,1.0,2.0,0.0,0.0,0.0,1416496.0,5334593.0,0.0,0.0,0.0,0.0,19.0,4.0,113.0,144.0,0.0,5.0,11.0,0.0,550.0,0.0,0.0,0.0,0.0,0.0,8.0,159.0,0.0,48.0,0.0,0.0,39.0,0.0,56.0,9.0,6.0,7438.0,1.0,0.0,0.0,13882.0,0.0,39.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,400.0,0.0,0.0,2.0,165810.0,0.0,45.0,58.0,3960.0,390607.0,0.0,0.0,13.0,138826.0,52424.0,1
SRR27176123,6.0,103798.0,0.0,0.0,0.0,0.0,0.0,0.0,2458247.0,7839776.0,0.0,0.0,0.0,0.0,40.0,0.0,658.0,0.0,0.0,0.0,0.0,0.0,247030.0,0.0,0.0,0.0,0.0,0.0,2.0,281.0,1.0,33.0,0.0,0.0,7.0,0.0,1.0,5.0,8.0,572.0,1.0,0.0,0.0,231.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,256.0,2.0,0.0,0.0,543967.0,0.0,39.0,0.0,29.0,38132.0,0.0,0.0,7.0,99515.0,6860.0,1
SRR27176124,44.0,424032.0,0.0,2.0,3.0,0.0,0.0,5.0,1816932.0,5957375.0,0.0,0.0,0.0,0.0,76.0,0.0,123.0,0.0,3.0,0.0,47.0,0.0,24180.0,0.0,0.0,0.0,0.0,0.0,3.0,49.0,6.0,480.0,0.0,0.0,794.0,0.0,15.0,54.0,5.0,442.0,2.0,2.0,0.0,36674.0,0.0,406.0,76.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,127.0,4.0,4.0,1.0,110049.0,0.0,22.0,2.0,61.0,55783.0,0.0,0.0,70.0,226016.0,43911.0,1
SRR27176125,34.0,450783.0,0.0,17.0,28.0,0.0,0.0,0.0,2631119.0,3521326.0,0.0,0.0,0.0,0.0,165.0,1.0,889.0,0.0,0.0,2.0,50.0,0.0,8180.0,2.0,0.0,0.0,0.0,0.0,0.0,122.0,1.0,117.0,0.0,0.0,2735.0,0.0,15.0,41.0,11.0,2697.0,1.0,2.0,4.0,8899.0,0.0,317.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,9.0,14.0,5.0,102548.0,0.0,97.0,177.0,93.0,77317.0,0.0,1.0,66.0,168867.0,164747.0,1
SRR27176126,1.0,130020.0,0.0,0.0,0.0,0.0,0.0,0.0,1927361.0,7648821.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,1.0,0.0,983.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,12.0,0.0,0.0,4.0,0.0,0.0,7.0,0.0,203.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,251881.0,3.0,5.0,2.0,0.0,118693.0,0.0,0.0,2.0,71483.0,172738.0,1
SRR27176127,4.0,666354.0,0.0,0.0,0.0,9.0,0.0,96.0,2578085.0,6090018.0,0.0,0.0,0.0,0.0,4.0,0.0,451.0,0.0,15.0,0.0,2.0,0.0,43044.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,34.0,0.0,0.0,20.0,0.0,31.0,1.0,10.0,529.0,1.0,0.0,0.0,159481.0,0.0,2.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,193.0,0.0,1.0,0.0,850018.0,6.0,10.0,10.0,54.0,134789.0,0.0,0.0,21.0,140024.0,4237.0,1
SRR27176128,1.0,9634.0,0.0,0.0,0.0,0.0,0.0,0.0,2574612.0,10944280.0,0.0,0.0,0.0,0.0,329.0,0.0,50.0,0.0,0.0,0.0,1.0,0.0,532.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,4.0,0.0,1.0,4.0,0.0,0.0,78.0,0.0,1433.0,0.0,0.0,0.0,2276.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,2.0,0.0,0.0,236272.0,1.0,1.0,247.0,15.0,23018.0,0.0,0.0,5.0,185268.0,18.0,1
SRR27176129,4.0,34491.0,0.0,3.0,0.0,0.0,0.0,0.0,2093105.0,6793801.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,367365.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,81.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,6.0,0.0,101417.0,0.0,12.0,35.0,67.0,45.0,0.0,0.0,6.0,37160.0,385.0,1
