acc,Actinobacteria,Bacilli,Bacteroidia,Betaproteobacteria,Clostridia,Coriobacteriia,Dehalococcoidia,Erysipelotrichia,Flavobacteriia,Gammaproteobacteria,Homoscleromorpha,Mammalia,Mollicutes,Negativicutes,Tissierellia,class
SRR755925,0.0,1.0,266.0,0.0,729.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,70.0,0.0,1
SRR756009,7.0,1.0,536.0,0.0,3865.0,202.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,1
SRR756010,0.0,0.0,1382.0,1.0,321.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1
SRR756049,6.0,2.0,330.0,0.0,1204.0,177.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1
SRR756069,0.0,1.0,1653.0,0.0,555.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,22.0,0.0,1
SRR756070,2.0,0.0,472.0,0.0,2355.0,2.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,1
SRR756071,0.0,3.0,1218.0,0.0,1450.0,28.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,1
SRR756091,0.0,2.0,2936.0,81.0,2135.0,11.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,117.0,0.0,1
SRR756092,0.0,0.0,1818.0,11.0,595.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1
SRR756093,2.0,2.0,927.0,0.0,2420.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1
SRR756116,0.0,0.0,414.0,5.0,635.0,7.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1
SRR756118,2.0,3.0,3539.0,423.0,2794.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,50.0,0.0,1
SRR756149,0.0,0.0,2688.0,8.0,1114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1
SRR756186,1.0,0.0,2854.0,20.0,540.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,1
SRR756230,0.0,0.0,389.0,0.0,2210.0,36.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1
SRR756241,0.0,2.0,756.0,3.0,2713.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
