acc,Abiotrophia,Adlercreutzia,Alistipes,Anaerofustis,Bacteroides,Clostridium,Collinsella,Coprobacillus,Dehalogenimonas,Dialister,Eggerthella,Enterococcus,Erysipelatoclostridium,Eubacterium,Filifactor,Holdemanella,Mageeibacillus,Pan,Parabacteroides,Peptoniphilus,Prevotella,Ruminiclostridium,Ruminococcus,Streptococcus,Veillonella,class
SRR755925,0.0,0.0,182.0,0.0,78.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,1.0,2.0,1
SRR756009,0.0,6.0,95.0,0.0,432.0,129.0,121.0,20.0,1.0,1.0,41.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,8.0,0.0,1.0,0.0,1
SRR756010,0.0,0.0,246.0,0.0,936.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR756049,0.0,4.0,37.0,0.0,271.0,50.0,144.0,10.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,12.0,1.0,0.0,8.0,0.0,0.0,0.0,1
SRR756069,0.0,0.0,208.0,0.0,1329.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1
SRR756070,0.0,0.0,266.0,0.0,132.0,310.0,0.0,0.0,0.0,1.0,2.0,0.0,15.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
SRR756071,0.0,0.0,556.0,0.0,600.0,18.0,8.0,0.0,0.0,79.0,0.0,0.0,10.0,0.0,19.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1
SRR756091,0.0,0.0,496.0,0.0,2223.0,120.0,4.0,0.0,0.0,111.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,1
SRR756092,0.0,1.0,330.0,0.0,1353.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR756093,0.0,1.0,131.0,0.0,779.0,150.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1
SRR756116,0.0,1.0,12.0,0.0,373.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1
SRR756118,0.0,1.0,36.0,0.0,3375.0,5.0,9.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,1
SRR756149,0.0,0.0,41.0,0.0,2594.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1
SRR756186,0.0,1.0,591.0,1.0,2235.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1
SRR756230,0.0,5.0,148.0,0.0,237.0,0.0,27.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
SRR756241,2.0,0.0,159.0,0.0,540.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,1
