acc,Acholeplasmatales,Acidaminococcales,Bacteroidales,Burkholderiales,Clostridiales,Coriobacteriales,Eggerthellales,Enterobacteriales,Erysipelotrichales,Flavobacteriales,Homosclerophorida,Lactobacillales,Primates,Tissierellales,Veillonellales,class
SRR755925,0.0,24.0,266.0,0.0,165.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,46.0,1
SRR756009,0.0,12.0,536.0,0.0,1746.0,134.0,48.0,0.0,23.0,0.0,0.0,1.0,0.0,0.0,1.0,1
SRR756010,0.0,3.0,1382.0,1.0,164.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR756049,0.0,4.0,330.0,0.0,581.0,156.0,4.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,1.0,1
SRR756069,1.0,22.0,1653.0,0.0,308.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,1
SRR756070,0.0,45.0,472.0,0.0,953.0,0.0,2.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,1
SRR756071,0.0,0.0,1218.0,0.0,589.0,8.0,0.0,0.0,11.0,0.0,0.0,3.0,0.0,0.0,79.0,1
SRR756091,0.0,0.0,2936.0,81.0,1260.0,4.0,0.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,117.0,1
SRR756092,0.0,6.0,1818.0,11.0,157.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR756093,0.0,7.0,927.0,0.0,826.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR756116,0.0,0.0,414.0,5.0,449.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR756118,0.0,0.0,3539.0,423.0,2267.0,9.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,50.0,1
SRR756149,0.0,0.0,2688.0,8.0,485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1
SRR756186,0.0,0.0,2854.0,20.0,208.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,1
SRR756230,0.0,3.0,389.0,0.0,849.0,27.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR756241,0.0,1.0,756.0,3.0,1474.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,1
