acc,Actinobacteria,Bacteroidetes,Chloroflexi,Chordata,Firmicutes,Porifera,Proteobacteria,Tenericutes,class
SRR755925,1.0,273.0,0.0,0.0,1348.0,1.0,0.0,0.0,1
SRR756009,210.0,537.0,1.0,0.0,5065.0,0.0,0.0,0.0,1
SRR756010,5.0,1382.0,0.0,0.0,353.0,0.0,1.0,0.0,1
SRR756049,183.0,330.0,0.0,0.0,1635.0,0.0,0.0,0.0,1
SRR756069,0.0,1654.0,0.0,0.0,704.0,0.0,0.0,1.0,1
SRR756070,4.0,473.0,0.0,0.0,2635.0,0.0,0.0,0.0,1
SRR756071,28.0,1218.0,0.0,0.0,2214.0,0.0,0.0,0.0,1
SRR756091,11.0,2936.0,0.0,0.0,3148.0,0.0,84.0,0.0,1
SRR756092,2.0,1818.0,0.0,0.0,682.0,0.0,11.0,0.0,1
SRR756093,22.0,927.0,1.0,0.0,2592.0,0.0,1.0,0.0,1
SRR756116,7.0,414.0,1.0,0.0,811.0,0.0,7.0,0.0,1
SRR756118,14.0,3539.0,0.0,1.0,3567.0,0.0,423.0,0.0,1
SRR756149,0.0,2688.0,0.0,0.0,1235.0,0.0,8.0,0.0,1
SRR756186,5.0,2854.0,0.0,0.0,1340.0,0.0,20.0,0.0,1
SRR756230,36.0,389.0,0.0,0.0,2305.0,0.0,0.0,0.0,1
SRR756241,8.0,756.0,0.0,0.0,2766.0,0.0,3.0,0.0,1
