acc,Acidobacteriia,Actinobacteria,Alphaproteobacteria,Bacilli,Bacteroidia,Betaproteobacteria,Clostridia,Coriobacteriia,Cytophagia,Dehalococcoidia,Deinococci,Deltaproteobacteria,Elusimicrobia,Epsilonproteobacteria,Erysipelotrichia,Eurotiomycetes,Flavobacteriia,Fusobacteriia,Gammaproteobacteria,Methanobacteria,Mollicutes,Negativicutes,Spartobacteria,Spirochaetia,Synergistia,Tissierellia,class
SRR5796708,0.0,80.0,0.0,129.0,79.0,0.0,3623.0,215.0,0.0,6.0,0.0,0.0,0.0,0.0,523.0,0.0,0.0,11.0,22.0,21.0,6.0,4.0,2.0,2.0,13.0,12.0,1
SRR5796709,0.0,662.0,0.0,360.0,70.0,0.0,3488.0,784.0,0.0,1.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,1.0,1.0,0.0,12.0,1.0,0.0,0.0,2.0,14.0,1
SRR5796710,0.0,712.0,0.0,486.0,28.0,0.0,978.0,19.0,0.0,1.0,0.0,1.0,0.0,0.0,76.0,0.0,0.0,4.0,9413.0,0.0,11.0,5.0,0.0,0.0,0.0,21.0,1
SRR5796711,0.0,27.0,0.0,102.0,116.0,0.0,1598.0,37.0,0.0,2.0,0.0,1.0,0.0,0.0,14.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,1
SRR5796712,0.0,1030.0,0.0,564.0,6.0,0.0,3452.0,563.0,0.0,3.0,0.0,0.0,0.0,0.0,274.0,0.0,0.0,1.0,53.0,0.0,8.0,6.0,1.0,0.0,1.0,7.0,1
SRR5796713,0.0,231.0,1.0,648.0,62.0,1.0,1878.0,61.0,1.0,0.0,0.0,1.0,0.0,1.0,81.0,0.0,2.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,3.0,54.0,1
SRR5796714,0.0,252.0,1.0,196.0,9.0,2.0,2858.0,158.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,4.0,0.0,0.0,6.0,2.0,0.0,1.0,2.0,6.0,1
SRR5796715,0.0,2922.0,0.0,569.0,139.0,1.0,2668.0,298.0,0.0,0.0,0.0,1.0,2.0,3.0,14.0,0.0,0.0,9.0,327.0,0.0,6.0,10.0,1.0,0.0,1.0,25.0,1
SRR5796716,0.0,308.0,0.0,96.0,113.0,1.0,2650.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,10.0,239.0,0.0,8.0,5.0,0.0,0.0,1.0,13.0,1
SRR5796717,0.0,1516.0,1.0,954.0,33.0,0.0,2968.0,219.0,0.0,3.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,9.0,0.0,4.0,7.0,1.0,0.0,1.0,10.0,1
