acc,Abiotrophia,Acholeplasma,Actinomyces,Adlercreutzia,Aerococcus,Algoriphagus,Alicyclobacillus,Allobaculum,Alloscardovia,Aminobacterium,Anaerococcus,Anaerofustis,Arcanobacterium,Aspergillus,Atopobium,Bacillus,Bacteroides,Bifidobacterium,Blattabacterium,Buchnera,Bulleidia,Burkholderia,Campylobacter,Candidatus Hoaglandella,Candidatus Midichloria,Candidatus Phytoplasma,Candidatus Profftella,Candidatus Sulcia,Candidatus Xiphinematobacter,Clostridioides,Clostridium,Collinsella,Corynebacterium,Cryptobacterium,Dehalococcoides,Dehalogenimonas,Desulfurella,Dialister,Dolosigranulum,Dorea,Ehrlichia,Elusimicrobium,Enterococcus,Enterorhabdus,Erysipelatoclostridium,Faecalicoccus,Filifactor,Finegoldia,Francisella,Fusibacter,Fusobacterium,Gardnerella,Gottschalkia,Haemophilus,Helcococcus,Ileibacterium,Jeotgalicoccus,Jonquetella,Lachnobacterium,Lactobacillus,Lawsonella,Lawsonia,Lebetimonas,Leptotrichia,Leucobacter,Leuconostoc,Levyella,Liberibacter,Lysinibacillus,Maricaulis,Methanosphaera,Methylobacterium,Moraxella,Mycoplasma,Olsenella,Oribacterium,Pediococcus,Peptoniphilus,Porphyromonas,Prevotella,Propionimicrobium,Prunus,Pseudobutyrivibrio,Pseudogulbenkiania,Pseudomonas,Ralstonia,Rathayibacter,Rickettsia,Rothia,Selenomonas,Shuttleworthia,Slackia,Spiroplasma,Sporomusa,Staphylococcus,Streptococcus,Succinispira,Synergistes,Thermosyntropha,Thermus,Thiomonas,Treponema,Trueperella,Ureaplasma,Varibaculum,Veillonella,Weissella,class
SRR5796708,0.0,4.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,136.0,5.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,522.0,1.0,18.0,1.0,0.0,1.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,4.0,11.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,58.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1
SRR5796709,0.0,2.0,0.0,503.0,2.0,0.0,0.0,2.0,47.0,1.0,4.0,14.0,0.0,0.0,18.0,0.0,0.0,440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1014.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,5.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,140.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,3.0,10.0,6.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
SRR5796710,0.0,0.0,0.0,7.0,60.0,0.0,0.0,4.0,4.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,72.0,0.0,6.0,1.0,0.0,0.0,4.0,685.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,268.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,1.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,5.0,3.0,0.0,1
SRR5796711,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,76.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,0.0,6.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,7.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1
SRR5796712,0.0,0.0,0.0,12.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,871.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,85.0,1.0,10.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,266.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,8.0,0.0,0.0,0.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1
SRR5796713,0.0,3.0,4.0,21.0,10.0,1.0,0.0,0.0,83.0,3.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,148.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,81.0,0.0,2.0,6.0,0.0,0.0,1.0,29.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,450.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
SRR5796714,0.0,0.0,0.0,33.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,3.0,6.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1
SRR5796715,0.0,1.0,0.0,85.0,0.0,0.0,0.0,0.0,4.0,1.0,11.0,0.0,0.0,0.0,14.0,0.0,0.0,2687.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,177.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,12.0,0.0,13.0,0.0,0.0,0.0,9.0,102.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,201.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,14.0,8.0,108.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,6.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,1.0,1
SRR5796716,0.0,0.0,1.0,0.0,11.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,5.0,0.0,0.0,0.0,0.0,263.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,10.0,0.0,22.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1
SRR5796717,0.0,2.0,0.0,27.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1428.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,975.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,12.0,0.0,14.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,9.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1
