acc,Acholeplasmatales,Acidaminococcales,Acidobacteriales,Actinomycetales,Bacillales,Bacteroidales,Bifidobacteriales,Burkholderiales,Campylobacterales,Clostridiales,Coriobacteriales,Corynebacteriales,Cytophagales,Dehalococcoidales,Desulfovibrionales,Desulfurellales,Eggerthellales,Elusimicrobiales,Enterobacterales,Entomoplasmatales,Erysipelotrichales,Eurotiales,Flavobacteriales,Fusobacteriales,Lactobacillales,Methanobacteriales,Micrococcales,Mycoplasmatales,Nautiliales,Neisseriales,Pasteurellales,Propionibacteriales,Pseudomonadales,Rhizobiales,Rhodobacterales,Rhodocyclales,Rickettsiales,Rosales,Selenomonadales,Spirochaetales,Synergistales,Thermales,Thiotrichales,Tissierellales,Veillonellales,class
SRR5796708,4.0,0.0,0.0,8.0,0.0,79.0,7.0,0.0,0.0,3544.0,20.0,0.0,0.0,1.0,0.0,0.0,105.0,0.0,20.0,0.0,523.0,0.0,0.0,11.0,79.0,21.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,13.0,0.0,0.0,12.0,0.0,1
SRR5796709,4.0,0.0,0.0,17.0,7.0,70.0,597.0,0.0,0.0,3309.0,19.0,2.0,0.0,1.0,0.0,0.0,503.0,0.0,0.0,0.0,80.0,0.0,0.0,1.0,315.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,14.0,1.0,1
SRR5796710,0.0,0.0,0.0,6.0,32.0,28.0,690.0,0.0,0.0,707.0,0.0,4.0,0.0,0.0,1.0,0.0,10.0,0.0,534.0,0.0,76.0,0.0,0.0,4.0,412.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,5.0,1
SRR5796711,0.0,0.0,0.0,0.0,10.0,116.0,3.0,0.0,0.0,1511.0,2.0,0.0,0.0,1.0,1.0,0.0,10.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,3.0,1
SRR5796712,0.0,0.0,0.0,0.0,47.0,6.0,872.0,0.0,0.0,3408.0,3.0,10.0,0.0,0.0,0.0,0.0,15.0,0.0,14.0,0.0,274.0,0.0,0.0,1.0,425.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,6.0,1
SRR5796713,3.0,0.0,0.0,4.0,11.0,62.0,114.0,1.0,1.0,1831.0,2.0,6.0,1.0,0.0,1.0,0.0,25.0,0.0,0.0,0.0,81.0,0.0,2.0,1.0,586.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,54.0,3.0,1
SRR5796714,0.0,0.0,0.0,2.0,13.0,9.0,212.0,2.0,0.0,2789.0,62.0,9.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,4.0,0.0,1.0,4.0,106.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,6.0,2.0,1
SRR5796715,1.0,0.0,0.0,7.0,277.0,139.0,2812.0,1.0,1.0,2639.0,15.0,0.0,0.0,0.0,1.0,0.0,91.0,2.0,0.0,0.0,14.0,0.0,0.0,9.0,229.0,0.0,4.0,5.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,25.0,7.0,1
SRR5796716,0.0,0.0,0.0,3.0,0.0,113.0,264.0,1.0,0.0,2623.0,57.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,17.0,0.0,0.0,10.0,72.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,5.0,1
SRR5796717,2.0,0.0,0.0,4.0,0.0,33.0,1433.0,0.0,0.0,2874.0,1.0,0.0,0.0,0.0,0.0,0.0,33.0,1.0,6.0,1.0,12.0,0.0,0.0,0.0,939.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,7.0,1
