acc,Acidobacteria,Actinobacteria,Armatimonadetes,Ascomycota,Bacteroidetes,Chloroflexi,Deinococcus-Thermus,Elusimicrobia,Euryarchaeota,Firmicutes,Fusobacteria,Proteobacteria,Spirochaetes,Streptophyta,Synergistetes,Tenericutes,Verrucomicrobia,class
SRR5796708,0.0,296.0,0.0,0.0,79.0,6.0,0.0,0.0,21.0,4912.0,11.0,604.0,2.0,0.0,13.0,6.0,2.0,1
SRR5796709,0.0,1449.0,0.0,0.0,70.0,1.0,0.0,0.0,0.0,4695.0,1.0,1.0,0.0,0.0,2.0,12.0,0.0,1
SRR5796710,0.0,732.0,0.0,0.0,59.0,1.0,0.0,0.0,0.0,2107.0,4.0,9706.0,0.0,0.0,0.0,11.0,0.0,1
SRR5796711,0.0,64.0,0.0,0.0,218.0,2.0,0.0,0.0,0.0,1951.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1
SRR5796712,0.0,1594.0,0.0,0.0,26.0,3.0,0.0,0.0,0.0,14819.0,1.0,597.0,0.0,0.0,1.0,8.0,1.0,1
SRR5796713,0.0,292.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,2903.0,1.0,366.0,0.0,0.0,3.0,4.0,0.0,1
SRR5796714,0.0,411.0,0.0,0.0,10.0,3.0,0.0,0.0,0.0,3514.0,4.0,109.0,1.0,0.0,2.0,6.0,0.0,1
SRR5796715,0.0,3221.0,0.0,0.0,154.0,0.0,0.0,2.0,0.0,3570.0,9.0,590.0,0.0,0.0,1.0,6.0,1.0,1
SRR5796716,0.0,372.0,0.0,0.0,113.0,0.0,0.0,0.0,0.0,3397.0,10.0,1269.0,0.0,0.0,1.0,8.0,0.0,1
SRR5796717,0.0,1736.0,0.0,0.0,84.0,3.0,0.0,1.0,0.0,5166.0,0.0,264.0,0.0,0.0,1.0,4.0,1.0,1
SRR5796718,0.0,219.0,0.0,0.0,66.0,2.0,0.0,0.0,0.0,3300.0,6.0,786.0,0.0,0.0,4.0,1.0,1.0,1
SRR5796719,0.0,111.0,0.0,0.0,41.0,4.0,0.0,0.0,0.0,1406.0,0.0,3.0,0.0,0.0,0.0,25.0,5.0,1
SRR5796720,0.0,346.0,0.0,0.0,378.0,2.0,0.0,0.0,0.0,2977.0,3.0,2289.0,0.0,0.0,3.0,4.0,0.0,1
SRR5796721,0.0,172.0,0.0,0.0,102.0,1.0,0.0,0.0,0.0,1600.0,0.0,662.0,0.0,0.0,0.0,0.0,0.0,1
SRR5796722,0.0,144.0,0.0,0.0,271.0,1.0,0.0,0.0,0.0,1852.0,9.0,571.0,0.0,0.0,3.0,2.0,0.0,1
SRR5796723,0.0,134.0,0.0,0.0,975.0,0.0,0.0,0.0,35.0,2428.0,6.0,193.0,0.0,0.0,0.0,8.0,0.0,1
SRR5796724,0.0,293.0,0.0,0.0,547.0,3.0,0.0,1.0,0.0,5034.0,0.0,1224.0,0.0,0.0,4.0,12.0,0.0,1
SRR5796725,0.0,369.0,0.0,0.0,328.0,0.0,0.0,0.0,1.0,1755.0,3.0,523.0,0.0,1.0,2.0,2.0,0.0,1
SRR5796726,0.0,578.0,0.0,0.0,178.0,2.0,0.0,0.0,0.0,5842.0,8.0,684.0,0.0,5.0,2.0,8.0,0.0,1
SRR5796727,0.0,140.0,0.0,0.0,330.0,1.0,0.0,0.0,0.0,2876.0,2.0,701.0,0.0,0.0,0.0,8.0,0.0,1
SRR5796728,0.0,1903.0,0.0,0.0,135.0,1.0,0.0,0.0,0.0,2411.0,13.0,496.0,0.0,0.0,1.0,9.0,0.0,1
SRR5796729,0.0,464.0,0.0,0.0,191.0,1.0,0.0,3.0,0.0,1436.0,0.0,1148.0,0.0,0.0,0.0,4.0,0.0,1
SRR5796730,0.0,124.0,0.0,0.0,330.0,4.0,0.0,6.0,0.0,2710.0,0.0,1.0,0.0,0.0,10.0,13.0,0.0,1
SRR5796731,0.0,185.0,0.0,0.0,103.0,0.0,1.0,0.0,40.0,5350.0,7.0,1536.0,0.0,0.0,2.0,5.0,0.0,1
SRR5796732,0.0,138.0,0.0,0.0,70.0,1.0,0.0,0.0,0.0,2529.0,0.0,15.0,0.0,0.0,6.0,3.0,1.0,1
SRR5796733,0.0,91.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,1203.0,0.0,243.0,0.0,0.0,3.0,0.0,0.0,1
SRR5796734,0.0,1346.0,0.0,0.0,45.0,1.0,0.0,0.0,0.0,1680.0,13.0,624.0,0.0,0.0,3.0,24.0,0.0,1
SRR5796735,0.0,437.0,0.0,0.0,66.0,2.0,0.0,2.0,0.0,9429.0,0.0,347.0,0.0,0.0,1.0,2.0,3.0,1
SRR5796736,0.0,377.0,0.0,0.0,79.0,2.0,0.0,0.0,0.0,3923.0,0.0,769.0,0.0,0.0,2.0,1.0,0.0,1
SRR5796737,0.0,352.0,0.0,0.0,328.0,2.0,0.0,0.0,0.0,11989.0,4.0,662.0,0.0,0.0,1.0,8.0,0.0,1
SRR5796738,0.0,104.0,0.0,0.0,108.0,1.0,0.0,1.0,0.0,3973.0,8.0,1043.0,0.0,0.0,0.0,1.0,1.0,1
SRR5796739,0.0,228.0,0.0,0.0,499.0,4.0,0.0,0.0,0.0,2634.0,0.0,3496.0,0.0,0.0,9.0,17.0,0.0,1
SRR5796740,0.0,225.0,0.0,0.0,127.0,3.0,0.0,138.0,0.0,2870.0,0.0,703.0,0.0,0.0,8.0,11.0,1.0,1
SRR5796741,0.0,1261.0,0.0,0.0,130.0,2.0,0.0,0.0,0.0,4181.0,0.0,1213.0,0.0,0.0,0.0,5.0,4.0,1
SRR5796742,0.0,128.0,0.0,0.0,924.0,0.0,0.0,0.0,151.0,1447.0,0.0,2362.0,0.0,0.0,2.0,10.0,3.0,1
