acc,Actinobacteria,Alphaproteobacteria,Bacilli,Bacteroidia,Betaproteobacteria,Clostridia,Coriobacteriia,Cytophagia,Epsilonproteobacteria,Erysipelotrichia,Fusobacteriia,Gammaproteobacteria,class
SRR8980761,0.0,63.0,17.0,0.0,1476.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
SRR8980762,3.0,3.0,2.0,0.0,1082.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980763,0.0,3.0,1.0,0.0,1008.0,25.0,0.0,0.0,0.0,0.0,0.0,9262.0,1
SRR8980764,0.0,8.0,22.0,0.0,949.0,0.0,0.0,0.0,0.0,0.0,0.0,9545.0,1
SRR8980765,0.0,5.0,28.0,0.0,1069.0,6.0,0.0,0.0,0.0,0.0,0.0,10068.0,1
SRR8980766,0.0,0.0,60.0,0.0,2021.0,0.0,0.0,1.0,0.0,0.0,0.0,11380.0,1
SRR8980767,2.0,0.0,33.0,0.0,1116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980768,0.0,0.0,21.0,0.0,874.0,0.0,0.0,0.0,0.0,0.0,0.0,9116.0,1
SRR8980769,0.0,1.0,2.0,0.0,903.0,0.0,0.0,0.0,0.0,0.0,0.0,9978.0,1
SRR8980770,0.0,0.0,46.0,0.0,1182.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980771,0.0,3.0,19.0,0.0,934.0,0.0,0.0,0.0,0.0,0.0,0.0,9141.0,1
SRR8980772,0.0,0.0,25.0,0.0,738.0,0.0,5.0,1.0,0.0,80.0,0.0,8562.0,1
SRR8980773,0.0,3.0,25.0,0.0,961.0,18.0,0.0,0.0,0.0,0.0,0.0,9383.0,1
SRR8980774,4.0,0.0,52.0,0.0,926.0,0.0,0.0,0.0,0.0,0.0,0.0,10168.0,1
SRR8980775,1.0,16.0,87.0,0.0,929.0,12.0,0.0,0.0,0.0,0.0,0.0,10762.0,1
SRR8980776,0.0,0.0,37.0,0.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,10975.0,1
SRR8980777,0.0,0.0,20.0,0.0,908.0,4728.0,0.0,1.0,0.0,0.0,0.0,9031.0,1
SRR8980778,0.0,2.0,18.0,0.0,826.0,0.0,1.0,0.0,0.0,0.0,0.0,8084.0,1
SRR8980779,2.0,0.0,39.0,0.0,1011.0,0.0,0.0,1.0,0.0,0.0,0.0,9969.0,1
SRR8980780,0.0,3.0,11.0,0.0,835.0,10701.0,0.0,0.0,0.0,55.0,0.0,7543.0,1
SRR8980781,0.0,0.0,48.0,0.0,880.0,0.0,0.0,0.0,0.0,0.0,0.0,9870.0,1
SRR8980782,0.0,12.0,28.0,0.0,917.0,0.0,0.0,0.0,1.0,0.0,0.0,9419.0,1
SRR8980783,2.0,0.0,2.0,4.0,937.0,0.0,0.0,0.0,0.0,0.0,0.0,9678.0,1
SRR8980784,3.0,0.0,3.0,1.0,942.0,5.0,0.0,0.0,0.0,0.0,0.0,10108.0,1
SRR8980785,0.0,0.0,6.0,0.0,1976.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
SRR8980786,0.0,65.0,109.0,0.0,1389.0,0.0,0.0,0.0,0.0,0.0,0.0,10059.0,1
SRR8980787,0.0,0.0,1.0,0.0,970.0,0.0,0.0,0.0,0.0,0.0,0.0,8291.0,1
SRR8980788,1.0,0.0,1.0,0.0,1119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980789,4.0,21.0,68.0,3.0,1596.0,0.0,0.0,1.0,0.0,0.0,0.0,10351.0,1
SRR8980790,0.0,0.0,69.0,0.0,2313.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1
SRR8980791,0.0,0.0,12.0,0.0,932.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980792,0.0,14.0,42.0,0.0,1041.0,2.0,0.0,0.0,0.0,0.0,0.0,9766.0,1
SRR8980793,0.0,0.0,18.0,0.0,851.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980794,0.0,0.0,0.0,0.0,888.0,0.0,0.0,0.0,0.0,0.0,0.0,10006.0,1
SRR8980795,0.0,3.0,2.0,0.0,1150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980796,0.0,5.0,2.0,0.0,1035.0,0.0,0.0,1.0,0.0,0.0,0.0,9632.0,1
SRR8980797,0.0,0.0,87.0,0.0,1622.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980798,0.0,0.0,20.0,0.0,1053.0,0.0,0.0,0.0,0.0,0.0,0.0,10184.0,1
SRR8980799,0.0,0.0,17.0,0.0,985.0,1169.0,0.0,0.0,5.0,53.0,0.0,0.0,1
SRR8980800,0.0,0.0,48.0,0.0,773.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980801,0.0,31.0,102.0,0.0,1301.0,0.0,0.0,0.0,0.0,0.0,0.0,9578.0,1
SRR8980802,0.0,0.0,26.0,0.0,1011.0,0.0,0.0,0.0,0.0,0.0,0.0,6520.0,1
SRR8980803,0.0,0.0,53.0,0.0,2177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980804,0.0,0.0,13.0,0.0,1175.0,0.0,0.0,0.0,0.0,0.0,0.0,11371.0,1
SRR8980805,0.0,0.0,52.0,0.0,1419.0,0.0,0.0,0.0,0.0,0.0,0.0,8643.0,1
SRR8980806,0.0,0.0,0.0,0.0,631.0,6.0,0.0,0.0,0.0,0.0,0.0,7260.0,1
SRR8980807,2.0,2.0,0.0,0.0,875.0,0.0,0.0,0.0,0.0,0.0,0.0,8169.0,1
SRR8980808,0.0,0.0,36.0,0.0,1029.0,49.0,0.0,0.0,0.0,0.0,0.0,8544.0,1
