acc,Bacillaceae,Bifidobacteriaceae,Brucellaceae,Burkholderiaceae,Campylobacteraceae,Clostridiaceae,Coriobacteriaceae,Coxiellaceae,Cucurbitaceae,Eggerthellaceae,Enterobacteriaceae,Erysipelotrichaceae,Fusobacteriaceae,Hyphomonadaceae,Intrasporangiaceae,Lachnospiraceae,Listeriaceae,Methylobacteriaceae,Nocardioidaceae,Peptostreptococcaceae,Persicobacteraceae,Phyllobacteriaceae,Pseudomonadaceae,Rhizobiaceae,Streptococcaceae,Xanthomonadaceae,class
SRR8980761,0.0,0.0,0.0,880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,1
SRR8980762,0.0,2.0,0.0,864.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
SRR8980763,0.0,0.0,0.0,801.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1
SRR8980764,0.0,0.0,0.0,752.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1
SRR8980765,0.0,0.0,0.0,768.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,25.0,0.0,1
SRR8980766,0.0,0.0,0.0,818.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,40.0,0.0,1
SRR8980767,0.0,0.0,0.0,832.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,1
SRR8980768,0.0,0.0,0.0,674.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,1
SRR8980769,0.0,0.0,0.0,683.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980770,0.0,0.0,0.0,715.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,1
SRR8980771,0.0,0.0,0.0,739.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1
SRR8980772,0.0,0.0,0.0,584.0,0.0,0.0,0.0,0.0,0.0,5.0,100.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,0.0,1
SRR8980773,0.0,0.0,0.0,724.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,1
SRR8980774,0.0,0.0,0.0,648.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,1.0,1
SRR8980775,0.0,0.0,0.0,626.0,0.0,0.0,0.0,0.0,2.0,0.0,117.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,1
SRR8980776,0.0,0.0,0.0,759.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,1
SRR8980777,0.0,0.0,0.0,715.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,1.0,0.0,0.0,0.0,20.0,0.0,1
SRR8980778,0.0,0.0,0.0,636.0,0.0,0.0,1.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,1
SRR8980779,0.0,0.0,0.0,825.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,35.0,0.0,1
SRR8980780,0.0,0.0,0.0,641.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,513.0,0.0,0.0,0.0,0.0,10.0,0.0,1
SRR8980781,0.0,0.0,0.0,677.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,1
SRR8980782,0.0,0.0,0.0,715.0,1.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,20.0,1.0,1
SRR8980783,0.0,0.0,0.0,741.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980784,0.0,0.0,0.0,746.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980785,0.0,0.0,0.0,617.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
