acc,Bacillales,Bacteroidales,Bifidobacteriales,Burkholderiales,Campylobacterales,Clostridiales,Coriobacteriales,Corynebacteriales,Cucurbitales,Cytophagales,Eggerthellales,Enterobacterales,Erysipelotrichales,Fusobacteriales,Lactobacillales,Legionellales,Micrococcales,Propionibacteriales,Pseudomonadales,Rhizobiales,Rhodobacterales,Xanthomonadales,class
SRR8980761,0.0,0.0,0.0,1245.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1
SRR8980762,0.0,0.0,2.0,898.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
SRR8980763,0.0,0.0,0.0,816.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1
SRR8980764,5.0,0.0,0.0,773.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
SRR8980765,0.0,0.0,0.0,879.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1
SRR8980766,0.0,0.0,0.0,1817.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,261.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980767,0.0,0.0,0.0,911.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980768,0.0,0.0,0.0,708.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980769,0.0,0.0,0.0,735.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980770,0.0,0.0,0.0,1015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980771,0.0,0.0,0.0,764.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980772,0.0,0.0,0.0,608.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,231.0,80.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980773,0.0,0.0,0.0,755.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,232.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980774,0.0,0.0,0.0,746.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,0.0,0.0,52.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
SRR8980775,0.0,0.0,0.0,773.0,0.0,12.0,0.0,0.0,2.0,0.0,0.0,197.0,0.0,0.0,87.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980776,0.0,0.0,0.0,804.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980777,0.0,0.0,0.0,741.0,0.0,4728.0,0.0,0.0,0.0,1.0,0.0,253.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980778,0.0,0.0,0.0,668.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,189.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980779,0.0,0.0,0.0,860.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,227.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980780,0.0,0.0,0.0,687.0,0.0,10700.0,0.0,0.0,0.0,0.0,0.0,203.0,55.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980781,0.0,0.0,0.0,724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980782,0.0,0.0,0.0,759.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1
SRR8980783,0.0,1.0,0.0,764.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980784,0.0,0.0,0.0,757.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,229.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980785,0.0,0.0,0.0,1803.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980786,0.0,0.0,0.0,1262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1
SRR8980787,0.0,0.0,0.0,780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980788,0.0,0.0,0.0,909.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980789,0.0,3.0,0.0,1398.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,239.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
SRR8980790,0.0,0.0,0.0,2129.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,3.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980791,0.0,0.0,0.0,768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980792,0.0,0.0,0.0,898.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
SRR8980793,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980794,0.0,0.0,0.0,737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
