acc,Actinobacteria,Bacteroidetes,Cyanobacteria,Firmicutes,Fusobacteria,Proteobacteria,Streptophyta,class
SRR8980761,0.0,2.0,0.0,56.0,0.0,6851.0,0.0,1
SRR8980762,5.0,0.0,0.0,64.0,0.0,1813.0,0.0,1
SRR8980763,0.0,15.0,0.0,58.0,0.0,11105.0,0.0,1
SRR8980764,0.0,0.0,0.0,54.0,0.0,12361.0,0.0,1
SRR8980765,0.0,0.0,0.0,36.0,0.0,11888.0,0.0,1
SRR8980766,0.0,1.0,0.0,76.0,0.0,14511.0,0.0,1
SRR8980767,2.0,0.0,0.0,58.0,0.0,1790.0,7.0,1
SRR8980768,0.0,0.0,0.0,30.0,0.0,10726.0,0.0,1
SRR8980769,0.0,0.0,0.0,9.0,0.0,11678.0,0.0,1
SRR8980770,0.0,0.0,0.0,57.0,0.0,1794.0,0.0,1
SRR8980771,0.0,0.0,0.0,37.0,0.0,10851.0,0.0,1
SRR8980772,6.0,2.0,0.0,140.0,0.0,9998.0,0.0,1
SRR8980773,0.0,0.0,0.0,58.0,0.0,11089.0,0.0,1
SRR8980774,4.0,0.0,0.0,75.0,0.0,11840.0,0.0,1
SRR8980775,1.0,0.0,0.0,108.0,0.0,12489.0,2.0,1
SRR8980776,0.0,0.0,0.0,58.0,0.0,12785.0,0.0,1
SRR8980777,0.0,1.0,0.0,5053.0,0.0,10656.0,0.0,1
SRR8980778,1.0,0.0,0.0,38.0,0.0,9600.0,0.0,1
SRR8980779,2.0,1.0,0.0,190.0,0.0,11842.0,0.0,1
SRR8980780,0.0,0.0,0.0,11380.0,0.0,9054.0,0.0,1
SRR8980781,0.0,0.0,0.0,67.0,0.0,11495.0,0.0,1
SRR8980782,0.0,0.0,0.0,38.0,0.0,11118.0,0.0,1
SRR8980783,2.0,5.0,0.0,79.0,0.0,11433.0,0.0,1
SRR8980784,3.0,2.0,0.0,47.0,0.0,11786.0,0.0,1
SRR8980785,0.0,1.0,0.0,101.0,0.0,2498.0,0.0,1
SRR8980786,0.0,0.0,0.0,134.0,0.0,14538.0,0.0,1
SRR8980787,0.0,0.0,0.0,3.0,0.0,10012.0,0.0,1
SRR8980788,1.0,0.0,0.0,5.0,0.0,1854.0,0.0,1
SRR8980789,4.0,4.0,0.0,111.0,0.0,12900.0,0.0,1
SRR8980790,0.0,0.0,0.0,82.0,3.0,3066.0,21.0,1
SRR8980791,0.0,0.0,0.0,19.0,0.0,1509.0,0.0,1
SRR8980792,0.0,0.0,0.0,59.0,0.0,11595.0,0.0,1
SRR8980793,0.0,0.0,0.0,23.0,0.0,1395.0,0.0,1
SRR8980794,0.0,0.0,0.0,0.0,0.0,11690.0,0.0,1
SRR8980795,0.0,0.0,0.0,24.0,0.0,1903.0,0.0,1
SRR8980796,0.0,1.0,0.0,69.0,0.0,11534.0,0.0,1
SRR8980797,0.0,0.0,0.0,114.0,0.0,2181.0,0.0,1
SRR8980798,0.0,0.0,0.0,32.0,0.0,12056.0,5.0,1
SRR8980799,0.0,0.0,0.0,1317.0,0.0,1542.0,0.0,1
SRR8980800,0.0,0.0,0.0,78.0,0.0,1178.0,0.0,1
SRR8980801,0.0,0.0,0.0,162.0,0.0,11714.0,6.0,1
SRR8980802,0.0,0.0,0.0,35.0,0.0,8156.0,1.0,1
SRR8980803,0.0,0.0,0.0,63.0,0.0,2638.0,0.0,1
SRR8980804,0.0,0.0,0.0,22.0,0.0,13521.0,0.0,1
SRR8980805,0.0,0.0,0.0,77.0,0.0,10786.0,0.0,1
SRR8980806,0.0,0.0,0.0,6.0,0.0,8428.0,0.0,1
SRR8980807,2.0,0.0,0.0,0.0,0.0,9752.0,0.0,1
SRR8980808,0.0,0.0,0.0,203.0,0.0,10279.0,0.0,1
SRR8980809,0.0,0.0,0.0,268.0,0.0,16382.0,0.0,1
SRR8980810,2.0,0.0,0.0,231.0,0.0,2166.0,0.0,1
SRR8980811,0.0,0.0,0.0,14.0,0.0,10734.0,0.0,1
SRR8980812,0.0,0.0,0.0,132.0,0.0,11932.0,0.0,1
SRR8980813,0.0,0.0,0.0,84.0,0.0,10749.0,0.0,1
SRR8980814,0.0,0.0,0.0,85.0,0.0,10431.0,0.0,1
SRR8980815,0.0,0.0,1.0,52.0,0.0,12852.0,0.0,1
