acc,Fungi,Metazoa,Viridiplantae,class
SRR11006339,0.0,25.0,1.0,0
SRR11006340,0.0,29.0,0.0,1
SRR11006341,0.0,1200.0,0.0,1
SRR11006342,0.0,2.0,0.0,1
SRR11006343,0.0,148.0,1.0,0
SRR11006352,0.0,5.0,0.0,0
SRR11006354,183.0,3.0,0.0,0
SRR11006356,0.0,2.0,0.0,0
SRR11006365,0.0,1.0,0.0,0
SRR11006366,0.0,0.0,1.0,0
SRR11006368,0.0,15.0,0.0,0
SRR11006373,0.0,120.0,0.0,0
SRR11006374,0.0,18.0,0.0,0
SRR11006375,0.0,2.0,0.0,0
SRR11006376,0.0,27.0,0.0,0
SRR11006377,0.0,1.0,0.0,0
SRR11006379,0.0,4.0,0.0,0
SRR11006384,0.0,1.0,0.0,0
SRR11006387,0.0,14.0,0.0,0
SRR11006388,0.0,59.0,3.0,0
