acc,Arthropoda,Bacteroidetes,Chordata,Firmicutes,Mucoromycota,Proteobacteria,Streptophyta,class
SRR11006336,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0
SRR11006337,0.0,0.0,0.0,6.0,0.0,23.0,0.0,0
SRR11006338,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0
SRR11006339,8.0,0.0,17.0,0.0,0.0,0.0,1.0,0
SRR11006340,0.0,0.0,29.0,0.0,0.0,0.0,0.0,1
SRR11006341,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,1
SRR11006342,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1
SRR11006343,25.0,0.0,123.0,9.0,0.0,0.0,1.0,0
SRR11006345,0.0,34.0,0.0,0.0,0.0,0.0,0.0,1
SRR11006352,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0
SRR11006354,0.0,26.0,3.0,9.0,183.0,0.0,0.0,0
SRR11006356,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0
SRR11006358,0.0,208.0,0.0,0.0,0.0,0.0,0.0,0
SRR11006359,0.0,206.0,0.0,0.0,0.0,0.0,0.0,0
SRR11006360,0.0,280.0,0.0,0.0,0.0,0.0,0.0,0
SRR11006361,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0
SRR11006365,0.0,83.0,1.0,0.0,0.0,11.0,0.0,0
SRR11006366,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
SRR11006368,0.0,198.0,15.0,0.0,0.0,0.0,0.0,0
SRR11006371,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0
SRR11006372,0.0,34.0,0.0,37.0,0.0,0.0,0.0,0
SRR11006373,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0
SRR11006374,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0
SRR11006375,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0
SRR11006376,25.0,0.0,2.0,0.0,0.0,0.0,0.0,0
SRR11006377,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
SRR11006379,0.0,295.0,4.0,0.0,0.0,0.0,0.0,0
SRR11006381,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0
SRR11006382,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0
SRR11006384,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
SRR11006387,13.0,0.0,1.0,0.0,0.0,10.0,0.0,0
SRR11006388,59.0,0.0,0.0,0.0,0.0,8.0,3.0,0
