acc,Actinobacteria,Alphaproteobacteria,Bacilli,Bacteroidia,Betaproteobacteria,Chitinophagia,Clostridia,Coriobacteriia,Cytophagia,Deltaproteobacteria,Epsilonproteobacteria,Erysipelotrichia,Flavobacteriia,Fusobacteriia,Gammaproteobacteria,Ignavibacteria,Magnoliopsida,Mammalia,Methanobacteria,Negativicutes,Nitrospira,Spirochaetia,Synergistia,class
SRR11807107,312.0,0.0,278.0,209.0,0.0,0.0,84426.0,4639.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807108,664.0,0.0,254.0,175.0,0.0,0.0,11505.0,976.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807109,104.0,0.0,199.0,6.0,0.0,0.0,70932.0,130.0,0.0,0.0,0.0,50.0,0.0,0.0,14811.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807110,223.0,0.0,304.0,0.0,0.0,0.0,28159.0,235.0,5.0,1.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807111,20.0,325.0,242.0,0.0,424.0,0.0,56066.0,2086.0,0.0,3.0,0.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807112,69.0,356.0,196.0,0.0,0.0,2.0,33316.0,1598.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
SRR11807113,0.0,0.0,9.0,0.0,0.0,0.0,373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807114,40.0,0.0,346.0,0.0,0.0,0.0,43207.0,2357.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807115,32.0,0.0,82.0,7209.0,0.0,0.0,50214.0,3347.0,0.0,0.0,0.0,848.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807116,36.0,0.0,235.0,0.0,0.0,0.0,50222.0,1369.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807117,383.0,0.0,607.0,0.0,8.0,1.0,100352.0,4671.0,0.0,0.0,0.0,887.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807118,22.0,0.0,902.0,307.0,0.0,0.0,23064.0,1374.0,0.0,0.0,0.0,1715.0,0.0,0.0,23643.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
SRR11807119,439.0,469.0,350.0,1689.0,0.0,0.0,26925.0,1239.0,0.0,0.0,0.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
