acc,Acetobacteraceae,Actinomycetaceae,Aerococcaceae,Alcaligenaceae,Alicyclobacillaceae,Bacillaceae,Bacteroidaceae,Burkholderiaceae,Campylobacteraceae,Caulobacteraceae,Chitinophagaceae,Chromobacteriaceae,Clostridiaceae,Clostridiales Family XII. Incertae Sedis,Clostridiales Family XIII. Incertae Sedis,Coriobacteriaceae,Corynebacteriaceae,Desulfobacteraceae,Desulfobulbaceae,Eggerthellaceae,Enterobacteriaceae,Erysipelotrichaceae,Flammeovirgaceae,Flavobacteriaceae,Francisellaceae,Fusobacteriaceae,Geobacteraceae,Holosporaceae,Hymenobacteraceae,Hyphomonadaceae,Intrasporangiaceae,Kofleriaceae,Labilitrichaceae,Lachnospiraceae,Lactobacillaceae,Leuconostocaceae,Melioribacteraceae,Methanobacteriaceae,Methylobacteriaceae,Microbacteriaceae,Micrococcaceae,Microviridae,Nautiliaceae,Nitrospiraceae,Nocardioidaceae,Odoribacteraceae,Oxalobacteraceae,Paenibacillaceae,Peptococcaceae,Peptostreptococcaceae,Persicobacteraceae,Phyllobacteriaceae,Polyangiaceae,Porphyromonadaceae,Prevotellaceae,Propionibacteriaceae,Pseudomonadaceae,Rhodanobacteraceae,Rhodospirillaceae,Ruminococcaceae,Sphingomonadaceae,Spirochaetaceae,Staphylococcaceae,Streptococcaceae,Symphyonemataceae,Synergistaceae,Veillonellaceae,Vibrionaceae,Xanthomonadaceae,class
SRR11807107,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3144.0,0.0,5.0,44.0,0.0,0.0,0.0,420.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66880.0,20.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,1322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807108,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,577.0,6.0,10.0,38.0,0.0,0.0,0.0,539.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3526.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807109,0.0,0.0,5.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0,0.0,0.0,68.0,0.0,0.0,0.0,10.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62219.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807110,0.0,16.0,5.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,9318.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9972.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807111,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,1188.0,0.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27883.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10493.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807112,0.0,27.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,2.0,0.0,1471.0,0.0,3.0,90.0,0.0,0.0,0.0,915.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8948.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9883.0,0.0,1.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807114,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,1138.0,0.0,1.0,22.0,0.0,0.0,0.0,1470.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1963.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807115,0.0,0.0,0.0,0.0,0.0,0.0,6911.0,0.0,0.0,0.0,0.0,0.0,1470.0,0.0,2.0,0.0,0.0,0.0,0.0,2292.0,0.0,848.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22309.0,25.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1326.0,0.0,7.0,0.0,0.0,0.0,0.0,879.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26570.0,0.0,0.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807117,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1734.0,0.0,0.0,0.0,0.0,0.0,0.0,2965.0,0.0,887.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58049.0,34.0,27.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16785.0,0.0,0.0,0.0,271.0,0.0,0.0,0.0,0.0,0.0,1
