acc,Metazoa,Viridiplantae,class
SRR11807118,1.0,0.0,1
SRR11807121,0.0,19.0,1
SRR11807129,0.0,2.0,1
SRR11807136,0.0,26.0,1
SRR11807139,1.0,0.0,1
SRR11807143,7.0,0.0,1
SRR11807155,1.0,0.0,1
SRR11807158,0.0,2.0,1
SRR11807160,0.0,2.0,1
SRR11807186,1.0,0.0,1
SRR11807193,2.0,0.0,1
SRR11807200,1.0,0.0,1
SRR11807219,2.0,0.0,1
SRR11807227,0.0,35.0,1
SRR11807229,1.0,0.0,1
SRR11807230,0.0,26.0,1
SRR11807237,1.0,0.0,1
SRR11807238,0.0,23.0,1
SRR11807256,1.0,0.0,1
SRR11807270,1.0,0.0,1
SRR11807274,0.0,223.0,1
SRR11807276,0.0,3.0,1
SRR11807303,0.0,7.0,1
SRR11807305,1.0,0.0,1
SRR11807307,0.0,1.0,1
SRR11807350,1.0,0.0,1
SRR11807358,2.0,0.0,1
SRR11807360,0.0,4.0,1
SRR11807377,0.0,1.0,1
SRR11807382,1.0,0.0,1
SRR11807402,0.0,73.0,1
SRR11807412,1.0,0.0,1
SRR11807415,1.0,0.0,1
SRR11807421,2.0,0.0,1
SRR11807429,2.0,0.0,1
SRR11807436,0.0,4.0,1
SRR11807441,0.0,2.0,1
