acc,Actinomycetales,Bacillales,Bacteroidales,Burkholderiales,Campylobacterales,Candidatus Gastranaerophilales,Caulobacterales,Chitinophagales,Clostridiales,Coriobacteriales,Corynebacteriales,Cytophagales,Desulfobacterales,Desulfuromonadales,Eggerthellales,Enterobacterales,Erysipelotrichales,Flavobacteriales,Fusobacteriales,Holosporales,Ignavibacteriales,Lactobacillales,Magnetococcales,Methanobacteriales,Micrococcales,Myxococcales,Nautiliales,Neisseriales,Nitrospirales,Nostocales,Propionibacteriales,Pseudomonadales,Rhizobiales,Rhodobacterales,Rhodospirillales,Sphingomonadales,Spirochaetales,Synergistales,Thiotrichales,Veillonellales,Vibrionales,Xanthomonadales,class
SRR11807107,13.0,0.0,209.0,0.0,0.0,0.0,0.0,0.0,84246.0,93.0,0.0,0.0,0.0,0.0,420.0,0.0,110.0,0.0,0.0,0.0,0.0,273.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807108,0.0,24.0,175.0,0.0,0.0,0.0,0.0,0.0,11456.0,76.0,0.0,0.0,0.0,0.0,539.0,0.0,300.0,0.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807109,0.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,70756.0,73.0,0.0,0.0,0.0,0.0,10.0,0.0,50.0,0.0,0.0,0.0,0.0,181.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807110,16.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,27893.0,0.0,0.0,5.0,0.0,0.0,8.0,0.0,123.0,0.0,0.0,0.0,0.0,255.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807111,0.0,18.0,0.0,347.0,0.0,0.0,0.0,0.0,55739.0,124.0,0.0,0.0,0.0,0.0,1188.0,0.0,174.0,0.0,0.0,0.0,0.0,211.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807112,27.0,25.0,0.0,0.0,0.0,0.0,0.0,2.0,33144.0,101.0,0.0,0.0,0.0,0.0,915.0,0.0,250.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807114,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,43125.0,42.0,0.0,0.0,0.0,0.0,1470.0,0.0,86.0,0.0,0.0,0.0,0.0,254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807115,0.0,0.0,7209.0,0.0,0.0,0.0,0.0,0.0,50130.0,0.0,0.0,0.0,0.0,0.0,2292.0,0.0,848.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50144.0,0.0,0.0,0.0,0.0,0.0,879.0,0.0,131.0,0.0,0.0,0.0,0.0,234.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
