acc,Actinobacteria,Armatimonadetes,Bacteroidetes,Candidatus Melainabacteria,Chordata,Cyanobacteria,Euryarchaeota,Firmicutes,Fusobacteria,Ignavibacteriae,Nitrospirae,Planctomycetes,Proteobacteria,Spirochaetes,Streptophyta,Synergistetes,Thaumarchaeota,class
SRR11807107,4953.0,0.0,218.0,0.0,0.0,0.0,0.0,131768.0,0.0,0.0,0.0,0.0,12776.0,0.0,0.0,0.0,0.0,1
SRR11807108,1643.0,0.0,179.0,0.0,0.0,0.0,0.0,20671.0,0.0,0.0,0.0,0.0,8666.0,0.0,0.0,0.0,0.0,1
SRR11807109,236.0,0.0,8.0,0.0,0.0,0.0,0.0,78112.0,0.0,0.0,0.0,0.0,23154.0,0.0,0.0,0.0,0.0,1
SRR11807110,462.0,0.0,13.0,0.0,0.0,0.0,0.0,33925.0,0.0,0.0,0.0,0.0,8806.0,0.0,0.0,0.0,0.0,1
SRR11807111,2108.0,0.0,0.0,0.0,0.0,0.0,0.0,66375.0,0.0,0.0,0.0,0.0,8806.0,0.0,0.0,0.0,0.0,1
SRR11807112,1675.0,0.0,10196.0,0.0,0.0,0.0,0.0,41188.0,0.0,0.0,0.0,0.0,10313.0,1.0,0.0,0.0,0.0,1
SRR11807113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,994.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807114,2398.0,0.0,0.0,0.0,0.0,0.0,0.0,57757.0,0.0,0.0,0.0,0.0,20347.0,0.0,0.0,0.0,0.0,1
SRR11807115,3384.0,0.0,7258.0,0.0,0.0,0.0,0.0,61367.0,0.0,0.0,0.0,0.0,6784.0,0.0,0.0,0.0,0.0,1
SRR11807116,1408.0,0.0,0.0,0.0,0.0,0.0,0.0,61264.0,0.0,0.0,0.0,0.0,9922.0,0.0,0.0,0.0,0.0,1
SRR11807117,5069.0,0.0,6.0,0.0,0.0,0.0,0.0,111001.0,0.0,0.0,0.0,0.0,14395.0,0.0,0.0,0.0,0.0,1
SRR11807118,1404.0,0.0,335.0,0.0,1.0,0.0,0.0,34122.0,0.0,0.0,0.0,0.0,36104.0,1.0,0.0,0.0,0.0,1
SRR11807119,1692.0,0.0,1696.0,0.0,0.0,0.0,0.0,35456.0,0.0,0.0,0.0,0.0,12439.0,0.0,0.0,0.0,0.0,1
SRR11807120,1310.0,0.0,43.0,0.0,0.0,0.0,0.0,57228.0,0.0,0.0,0.0,0.0,15036.0,0.0,0.0,0.0,0.0,1
SRR11807121,2962.0,0.0,14.0,0.0,0.0,0.0,0.0,43483.0,0.0,0.0,0.0,0.0,12737.0,1.0,19.0,0.0,0.0,1
SRR11807122,6922.0,0.0,0.0,0.0,0.0,0.0,0.0,45172.0,0.0,0.0,0.0,0.0,46821.0,0.0,0.0,0.0,0.0,1
SRR11807123,6957.0,0.0,10.0,0.0,0.0,0.0,0.0,57366.0,0.0,0.0,0.0,0.0,46473.0,0.0,0.0,0.0,0.0,1
SRR11807124,4589.0,0.0,160.0,0.0,0.0,0.0,0.0,16031.0,0.0,0.0,0.0,0.0,33440.0,0.0,0.0,0.0,0.0,1
SRR11807125,6035.0,0.0,0.0,0.0,0.0,0.0,0.0,44540.0,0.0,0.0,0.0,0.0,16379.0,0.0,0.0,0.0,0.0,1
SRR11807126,2857.0,0.0,16.0,0.0,0.0,0.0,0.0,35266.0,0.0,0.0,0.0,0.0,15698.0,0.0,0.0,0.0,0.0,1
SRR11807127,960.0,0.0,274.0,0.0,0.0,0.0,1.0,16599.0,0.0,0.0,0.0,0.0,28993.0,0.0,0.0,0.0,0.0,1
SRR11807128,1411.0,0.0,87.0,0.0,0.0,0.0,0.0,29141.0,0.0,0.0,0.0,0.0,33777.0,0.0,0.0,0.0,0.0,1
SRR11807129,303.0,0.0,103.0,0.0,0.0,0.0,0.0,60456.0,0.0,0.0,0.0,0.0,9185.0,0.0,2.0,0.0,0.0,1
SRR11807130,1662.0,0.0,0.0,0.0,0.0,0.0,0.0,10919.0,0.0,0.0,0.0,0.0,10048.0,1.0,0.0,0.0,0.0,1
SRR11807131,1906.0,0.0,6093.0,0.0,0.0,0.0,0.0,10253.0,0.0,0.0,0.0,0.0,24451.0,0.0,0.0,0.0,0.0,1
SRR11807132,2014.0,0.0,0.0,0.0,0.0,0.0,0.0,13037.0,0.0,0.0,0.0,0.0,29096.0,0.0,0.0,0.0,0.0,1
SRR11807133,7850.0,0.0,5.0,0.0,0.0,0.0,0.0,19782.0,1.0,0.0,0.0,0.0,9368.0,0.0,0.0,0.0,0.0,1
SRR11807134,526.0,0.0,68.0,0.0,0.0,0.0,0.0,90657.0,0.0,0.0,0.0,0.0,32942.0,0.0,0.0,0.0,0.0,1
SRR11807135,940.0,0.0,278.0,0.0,0.0,0.0,0.0,62364.0,0.0,0.0,0.0,0.0,34981.0,0.0,0.0,0.0,0.0,1
SRR11807136,658.0,0.0,214.0,0.0,0.0,0.0,0.0,67687.0,0.0,0.0,0.0,0.0,40528.0,1.0,26.0,0.0,0.0,1
SRR11807137,2180.0,0.0,0.0,0.0,0.0,0.0,0.0,62029.0,0.0,0.0,0.0,0.0,20237.0,0.0,0.0,0.0,0.0,1
SRR11807138,1838.0,0.0,166.0,0.0,0.0,0.0,0.0,147423.0,0.0,1.0,0.0,1.0,44261.0,0.0,0.0,0.0,0.0,1
SRR11807139,1274.0,0.0,72.0,0.0,1.0,0.0,0.0,55567.0,0.0,0.0,0.0,0.0,48469.0,0.0,0.0,0.0,0.0,1
SRR11807140,817.0,0.0,132.0,0.0,0.0,0.0,0.0,45089.0,0.0,0.0,0.0,0.0,42958.0,0.0,0.0,0.0,0.0,1
SRR11807141,1077.0,0.0,0.0,0.0,0.0,0.0,0.0,37386.0,0.0,0.0,0.0,0.0,12242.0,0.0,0.0,0.0,0.0,1
SRR11807142,493.0,0.0,120.0,0.0,0.0,0.0,0.0,53418.0,0.0,0.0,0.0,0.0,73929.0,0.0,0.0,0.0,0.0,1
SRR11807143,2357.0,0.0,64.0,0.0,7.0,0.0,62155.0,37315.0,0.0,0.0,0.0,0.0,67485.0,0.0,0.0,0.0,0.0,1
