acc,Actinobacteria,Alphaproteobacteria,Bacilli,Bacteroidia,Betaproteobacteria,Chitinophagia,Chlamydiia,Clostridia,Coriobacteriia,Cytophagia,Deltaproteobacteria,Epsilonproteobacteria,Erysipelotrichia,Flavobacteriia,Fusobacteriia,Gammaproteobacteria,Magnoliopsida,Mammalia,Methanobacteria,Negativicutes,Spirochaetia,class
SRR12162461,0.0,0.0,0.0,3.0,0.0,0.0,0.0,48.0,3.0,0.0,0.0,0.0,341.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0
SRR12162462,0.0,0.0,8.0,45.0,0.0,0.0,0.0,521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0
SRR12162463,0.0,0.0,7.0,3.0,0.0,0.0,0.0,327.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162464,0.0,0.0,0.0,374.0,0.0,0.0,0.0,114.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162465,0.0,0.0,0.0,3.0,0.0,0.0,0.0,82.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SRR12162466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.0,14.0,0.0,0.0,0.0,4.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0
SRR12162468,0.0,0.0,0.0,156.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162469,0.0,0.0,0.0,127.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SRR12162470,0.0,0.0,0.0,132.0,0.0,0.0,0.0,120.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162471,0.0,0.0,0.0,278.0,0.0,0.0,0.0,166.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162472,0.0,0.0,0.0,3.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1
