acc,Acidobacteriia,Actinomycetia,Alphaproteobacteria,Anaerolineae,Aquificae,Bacilli,Bacteroidia,Balneolia,Betaproteobacteria,Blastocatellia,Chitinophagia,Chlamydiia,Chloroflexia,Chthonomonadetes,Clostridia,Coriobacteriia,Cytophagia,Deferribacteres,Deinococci,Deltaproteobacteria,Epsilonproteobacteria,Erysipelotrichia,Flavobacteriia,Fusobacteriia,Gammaproteobacteria,Lentisphaeria,Methanobacteria,Methanomicrobia,Mollicutes,Negativicutes,Nitrososphaeria,Nitrospira,Oligoflexia,Opitutae,Planctomycetia,Rubrobacteria,Saprospiria,Sphingobacteriia,Spirochaetia,Synergistia,Thermodesulfobacteria,Thermoleophilia,Thermoplasmata,Thermoprotei,Thermotogae,Tissierellia,Verrucomicrobiae,Vicinamibacteria,class
SRR17641728,0.0,45.0,0.0,0.0,0.0,174.0,7724.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,470.0,126.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,302.0,2214.0,0.0,0.0,0.0,0.0,9965.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0
SRR17641729,0.0,51.0,0.0,0.0,0.0,224.0,487.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,2578.0,798.0,0.0,0.0,0.0,27.0,0.0,96.0,0.0,8.0,5035.0,0.0,0.0,0.0,0.0,8707.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0
SRR17641730,0.0,256.0,2.0,0.0,0.0,338.0,35704.0,0.0,397.0,1.0,0.0,0.0,0.0,0.0,3836.0,6.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,3.0,104.0,0.0,0.0,0.0,0.0,2413.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0
SRR17641731,0.0,1322.0,5.0,0.0,0.0,76.0,16369.0,0.0,1337.0,0.0,0.0,0.0,0.0,0.0,7947.0,476.0,0.0,0.0,0.0,3.0,0.0,64.0,0.0,24.0,207.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1
SRR17641732,0.0,2936.0,6.0,0.0,0.0,3019.0,17289.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,8617.0,671.0,0.0,0.0,0.0,1.0,0.0,170.0,0.0,5.0,228.0,0.0,0.0,0.0,0.0,436.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,910.0,0.0,1
SRR17641733,0.0,1708.0,28.0,0.0,0.0,982.0,26497.0,0.0,116.0,1.0,0.0,0.0,0.0,0.0,4268.0,1410.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,20.0,316.0,0.0,0.0,0.0,0.0,2231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8009.0,0.0,1
SRR17641734,6.0,49.0,16.0,0.0,0.0,15.0,27795.0,0.0,76.0,1.0,0.0,0.0,0.0,0.0,1071.0,460.0,2.0,0.0,0.0,2.0,0.0,94.0,0.0,9.0,881.0,8.0,3.0,0.0,0.0,3931.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,11.0,0.0,1
SRR17641735,0.0,1057.0,2.0,0.0,0.0,142.0,20016.0,0.0,1385.0,0.0,0.0,0.0,0.0,0.0,5700.0,3778.0,0.0,0.0,0.0,325.0,0.0,163.0,0.0,29.0,827.0,0.0,1.0,0.0,0.0,1176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1
SRR17641736,0.0,9.0,0.0,0.0,0.0,19.0,18477.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1263.0,932.0,1.0,0.0,0.0,41.0,0.0,48.0,0.0,798.0,1959.0,0.0,0.0,0.0,0.0,1811.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1
SRR17641737,0.0,52.0,8.0,0.0,0.0,24.0,20348.0,0.0,416.0,0.0,0.0,0.0,0.0,0.0,3720.0,528.0,0.0,0.0,0.0,7.0,0.0,14.0,0.0,15.0,3049.0,0.0,0.0,0.0,0.0,1060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1
SRR17641738,0.0,108.0,5.0,0.0,0.0,178.0,5806.0,0.0,457.0,0.0,0.0,0.0,0.0,0.0,6679.0,369.0,0.0,1.0,0.0,815.0,10.0,194.0,0.0,0.0,53.0,10.0,7.0,0.0,0.0,1639.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,5.0,172.0,0.0,0
SRR17641739,1.0,12.0,10.0,0.0,0.0,4.0,19893.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,3082.0,30.0,0.0,0.0,0.0,477.0,0.0,42.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,1922.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR17641740,0.0,121.0,4.0,0.0,0.0,18.0,30868.0,0.0,44.0,0.0,3.0,0.0,0.0,0.0,2600.0,415.0,1.0,0.0,0.0,12.0,0.0,56.0,1.0,1955.0,660.0,0.0,0.0,0.0,0.0,929.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
