acc,Metazoa,Viridiplantae,class
SRR12162485,46.0,0.0,1
SRR12162486,182.0,0.0,0
SRR12162487,190.0,0.0,0
SRR12162490,1.0,0.0,0
SRR12162491,30.0,0.0,1
SRR12162496,109.0,0.0,1
SRR12162499,136.0,0.0,1
SRR12162501,10.0,0.0,1
SRR12162503,95.0,0.0,0
SRR12162506,57.0,0.0,0
SRR12162508,13.0,0.0,1
SRR12162509,62.0,0.0,1
SRR12162510,13.0,0.0,0
SRR12162515,55.0,0.0,1
SRR12162520,9.0,0.0,1
SRR12162522,6.0,0.0,0
SRR12162525,30.0,0.0,1
SRR12162575,31.0,0.0,1
SRR12162576,30.0,0.0,0
SRR12162577,123.0,0.0,0
SRR12162579,129.0,0.0,0
SRR12162618,0.0,1.0,1
SRR12162631,2735.0,0.0,1
SRR12162632,89.0,0.0,0
SRR12162634,44.0,0.0,0
SRR12162635,6387.0,0.0,1
SRR12162639,268.0,0.0,0
SRR12162642,12.0,0.0,1
SRR12162643,53.0,0.0,1
SRR12162644,170.0,0.0,1
SRR12162645,182.0,0.0,1
SRR12162646,70.0,0.0,1
SRR12162650,509.0,0.0,1
SRR12162652,10.0,0.0,1
SRR12162653,246.0,0.0,1
SRR12162658,3335.0,0.0,1
SRR12162659,489.0,0.0,1
SRR12162660,3062.0,0.0,1
SRR12162661,265.0,0.0,1
SRR12162663,240.0,0.0,1
SRR12162665,62.0,0.0,0
SRR12162666,1070.0,0.0,0
SRR12162689,171.0,0.0,0
SRR12162693,25.0,0.0,1
SRR12162697,2364.0,0.0,1
SRR12162700,234.0,0.0,1
SRR12162701,259.0,0.0,0
SRR12162702,187.0,0.0,0
SRR12162706,101.0,0.0,1
SRR12162710,585.0,0.0,0
SRR12162713,138.0,0.0,0
SRR12162714,1950.0,0.0,1
SRR12162719,192.0,0.0,0
SRR12162721,29.0,0.0,1
SRR12162722,129.0,0.0,1
SRR12162724,230.0,0.0,1
SRR12162728,73.0,0.0,1
SRR12162732,85.0,0.0,0
SRR12162733,77.0,0.0,0
SRR12162740,162.0,0.0,1
SRR12162742,218.0,0.0,1
