acc,Actinobacteria,Bacteroidetes,Candidatus Melainabacteria,Chlamydiae,Chordata,Cyanobacteria,Euryarchaeota,Firmicutes,Fusobacteria,Planctomycetes,Proteobacteria,Spirochaetes,Streptophyta,class
SRR12162461,4.0,12.0,0.0,0.0,0.0,0.0,0.0,394.0,0.0,0.0,147.0,0.0,0.0,0
SRR12162462,0.0,47.0,0.0,0.0,0.0,0.0,0.0,585.0,0.0,0.0,133.0,0.0,0.0,0
SRR12162463,8.0,125.0,0.0,0.0,0.0,0.0,0.0,371.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162464,10.0,374.0,0.0,0.0,0.0,0.0,0.0,171.0,0.0,0.0,301.0,0.0,0.0,1
SRR12162465,4.0,6.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0
SRR12162466,14.0,0.0,0.0,0.0,0.0,0.0,0.0,493.0,0.0,0.0,267.0,0.0,0.0,0
SRR12162468,8.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162469,0.0,136.0,0.0,0.0,0.0,0.0,0.0,166.0,0.0,0.0,0.0,0.0,0.0,0
SRR12162470,3.0,173.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162471,11.0,284.0,0.0,0.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162472,0.0,7.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,90.0,0.0,0.0,1
SRR12162473,2.0,272.0,0.0,0.0,0.0,0.0,0.0,347.0,0.0,0.0,150.0,0.0,0.0,0
SRR12162474,4.0,294.0,0.0,0.0,0.0,0.0,0.0,306.0,0.0,0.0,460.0,0.0,0.0,1
SRR12162475,8.0,15.0,0.0,0.0,0.0,0.0,0.0,471.0,0.0,0.0,0.0,0.0,0.0,0
SRR12162476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162485,0.0,3.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162486,0.0,0.0,0.0,0.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SRR12162487,1.0,3.0,0.0,0.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SRR12162488,0.0,3.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162490,4.0,9.0,0.0,0.0,1.0,0.0,0.0,203.0,0.0,0.0,128.0,0.0,0.0,0
SRR12162491,0.0,5.0,0.0,0.0,30.0,0.0,0.0,523.0,0.0,0.0,537.0,0.0,0.0,1
SRR12162492,19.0,145.0,0.0,0.0,0.0,0.0,0.0,291.0,0.0,0.0,60.0,0.0,0.0,1
SRR12162493,9.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,0.0,1
SRR12162496,0.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
