acc,Acholeplasmatales,Acidaminococcales,Acidilobales,Acidobacteriales,Actinomycetales,Aeromonadales,Alteromonadales,Anaerolineales,Anaeroplasmatales,Aquificales,Arenicellales,Bacillales,Bacteroidales,Balneolales,Bifidobacteriales,Blastocatellales,Brachyspirales,Bradymonadales,Burkholderiales,Campylobacterales,Cardiobacteriales,Caulobacterales,Cellvibrionales,Chitinophagales,Chlamydiales,Chloroflexales,Chromatiales,Chthonomonadales,Coriobacteriales,Corynebacteriales,Cytophagales,Deferribacterales,Deinococcales,Desulfovibrionales,Desulfuromonadales,Eggerthellales,Enterobacterales,Erysipelotrichales,Eubacteriales,Flavobacteriales,Fusobacteriales,Gaiellales,Geodermatophilales,Glycomycetales,Halanaerobiales,Hyphomicrobiales,Isosphaerales,Jiangellales,Kineosporiales,Kosmotogales,Lactobacillales,Legionellales,Leptospirales,Maricaulales,Marinilabiliales,Methanobacteriales,Methanomassiliicoccales,Methanosarcinales,Methylococcales,Micrococcales,Micromonosporales,Mycoplasmatales,Myxococcales,Neisseriales,Nevskiales,Nitrosomonadales,Nitrososphaerales,Nitrospirales,Nostocales,Oceanospirillales,Opitutales,Oscillatoriales,Pasteurellales,Pirellulales,Propionibacteriales,Pseudomonadales,Pseudonocardiales,Puniceicoccales,Rhodobacterales,Rhodocyclales,Rhodospirillales,Rickettsiales,Rubrobacterales,Saprospirales,Selenomonadales,Silvanigrellales,Solirubrobacterales,Sphingobacteriales,Sphingomonadales,Spirochaetales,Streptomycetales,Streptosporangiales,Synergistales,Syntrophobacterales,Thermales,Thermodesulfobacteriales,Thiotrichales,Tissierellales,Veillonellales,Verrucomicrobiales,Vibrionales,Victivallales,Xanthomonadales,class
SRR17641728,0.0,554.0,0.0,0.0,0.0,738.0,0.0,0.0,0.0,0.0,0.0,1.0,7705.0,0.0,22.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,808.0,17.0,469.0,0.0,302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6561.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2499.0,11.0,0.0,0.0,1.0,0
SRR17641729,0.0,541.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,476.0,0.0,26.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,787.0,0.0,0.0,0.0,0.0,27.0,0.0,2.0,133.0,96.0,2567.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7975.0,63.0,4.0,0.0,1.0,0
SRR17641730,0.0,2317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35534.0,0.0,108.0,0.0,0.0,0.0,364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,81.0,32.0,3827.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,11.0,0.0,0.0,1.0,0
SRR17641731,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16303.0,0.0,625.0,0.0,0.0,0.0,1305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444.0,2.0,0.0,0.0,0.0,1.0,0.0,30.0,161.0,64.0,7931.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,1
SRR17641732,0.0,221.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17194.0,0.0,1111.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,568.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,195.0,170.0,8587.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,910.0,0.0,0.0,0.0,1
SRR17641733,0.0,2087.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,26379.0,0.0,730.0,1.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1328.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,276.0,81.0,4257.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,937.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,8009.0,0.0,0.0,0.0,1
SRR17641734,0.0,23.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27603.0,0.0,18.0,1.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,449.0,0.0,2.0,0.0,0.0,1.0,0.0,9.0,721.0,94.0,1066.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3851.0,11.0,0.0,8.0,0.0,1
SRR17641735,0.0,1143.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19686.0,0.0,413.0,0.0,0.0,0.0,1227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2983.0,2.0,0.0,0.0,0.0,320.0,0.0,752.0,675.0,163.0,5680.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,0.0,0.0,0.0,1
SRR17641736,0.0,1703.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,18318.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,567.0,0.0,1.0,0.0,0.0,2.0,0.0,348.0,1680.0,48.0,1257.0,0.0,798.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,59.0,5.0,0.0,0.0,0.0,1
SRR17641737,0.0,73.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,20149.0,0.0,26.0,0.0,0.0,0.0,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0,2.0,0.0,0.0,0.0,4.0,0.0,52.0,2572.0,14.0,3699.0,0.0,15.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,129.0,1.0,0.0,0.0,0.0,1
