acc,Acidobacteria,Actinobacteria,Aquificae,Armatimonadetes,Bacteroidetes,Balneolaeota,Candidatus Thermoplasmatota,Chlamydiae,Chloroflexi,Crenarchaeota,Cyanobacteria,Deferribacteres,Deinococcus-Thermus,Euryarchaeota,Firmicutes,Fusobacteria,Lentisphaerae,Nitrospirae,Planctomycetes,Proteobacteria,Spirochaetes,Synergistetes,Tenericutes,Thaumarchaeota,Thermodesulfobacteria,Thermotogae,Verrucomicrobia,class
SRR17641728,0.0,224.0,0.0,0.0,7857.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18837.0,302.0,0.0,0.0,0.0,2456.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0
SRR17641729,0.0,945.0,0.0,0.0,541.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13562.0,8.0,0.0,0.0,0.0,5382.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0
SRR17641730,1.0,264.0,0.0,0.0,36635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7248.0,3.0,0.0,0.0,0.0,584.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0
SRR17641731,0.0,1860.0,0.0,0.0,16774.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9142.0,24.0,0.0,0.0,0.0,1789.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1
SRR17641732,0.0,3681.0,0.0,0.0,17931.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14177.0,5.0,0.0,0.0,0.0,311.0,0.0,0.0,0.0,0.0,0.0,0.0,920.0,1
SRR17641733,1.0,3300.0,0.0,0.0,27207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8738.0,20.0,0.0,0.0,0.0,504.0,0.0,0.0,0.0,0.0,0.0,0.0,8068.0,1
SRR17641734,7.0,562.0,0.0,0.0,29894.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,6976.0,9.0,8.0,0.0,0.0,1094.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1
SRR17641735,0.0,5309.0,0.0,0.0,21638.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8291.0,29.0,0.0,0.0,0.0,2991.0,0.0,12.0,0.0,0.0,0.0,0.0,11.0,1
SRR17641736,0.0,1033.0,0.0,0.0,19346.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3523.0,798.0,0.0,0.0,0.0,2167.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1
SRR17641737,0.0,703.0,0.0,0.0,21390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5682.0,15.0,0.0,0.0,0.0,3772.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
SRR17641738,0.0,617.0,0.0,0.0,6219.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,9789.0,0.0,10.0,0.0,0.0,1710.0,1.0,10.0,0.0,0.0,0.0,0.0,175.0,0
SRR17641739,1.0,44.0,0.0,0.0,20762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5859.0,0.0,0.0,0.0,0.0,877.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR17641740,0.0,564.0,0.0,0.0,34849.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4028.0,1955.0,0.0,0.0,0.0,781.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
SRR17641741,0.0,414.0,0.0,0.0,32989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1865.0,1721.0,0.0,0.0,0.0,611.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR17641742,0.0,99.0,0.0,0.0,23164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5579.0,0.0,0.0,0.0,0.0,5733.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR17641743,0.0,487.0,0.0,1.0,9563.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3332.0,1.0,0.0,0.0,0.0,15210.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
SRR17641744,8.0,250.0,0.0,0.0,16959.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7077.0,1.0,0.0,0.0,0.0,3830.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1
SRR17641745,0.0,95.0,0.0,0.0,5526.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1859.0,0.0,0.0,0.0,0.0,13172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR17641746,0.0,894.0,0.0,0.0,27724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4190.0,0.0,0.0,0.0,0.0,4033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR17641747,0.0,82.0,0.0,0.0,17230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15989.0,0.0,0.0,0.0,0.0,1405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR17641748,0.0,1276.0,0.0,0.0,4832.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18961.0,24.0,0.0,0.0,0.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR17641749,0.0,853.0,0.0,0.0,10797.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,9.0,25294.0,10.0,0.0,1.0,0.0,225.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,1
SRR17641750,0.0,266.0,0.0,0.0,9013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.0,6576.0,2.0,0.0,0.0,0.0,631.0,0.0,28.0,0.0,13.0,0.0,0.0,4.0,1
SRR17641751,0.0,54.0,0.0,0.0,24260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3201.0,1.0,0.0,0.0,0.0,520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR17641752,0.0,854.0,0.0,0.0,17501.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13618.0,0.0,0.0,0.0,0.0,1050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR17641753,0.0,87.0,1.0,0.0,7033.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9492.0,0.0,0.0,0.0,0.0,1181.0,0.0,3.0,0.0,0.0,0.0,0.0,86.0,1
SRR17641754,0.0,105.0,0.0,0.0,11249.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,14063.0,0.0,0.0,0.0,0.0,1709.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1
SRR17641755,0.0,98.0,0.0,0.0,31185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11602.0,1655.0,0.0,0.0,0.0,344.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
SRR17641756,0.0,61.0,0.0,0.0,7422.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21716.0,5.0,0.0,0.0,0.0,5183.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1
SRR17641757,0.0,210.0,0.0,0.0,15404.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9000.0,0.0,0.0,0.0,0.0,585.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,1
SRR17641758,0.0,529.0,0.0,0.0,22300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7098.0,0.0,0.0,0.0,0.0,1609.0,0.0,0.0,0.0,1.0,0.0,0.0,38.0,1
SRR17641759,0.0,26.0,0.0,0.0,21559.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3966.0,151.0,0.0,0.0,0.0,777.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR17641760,0.0,120.0,0.0,0.0,22683.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6854.0,1579.0,0.0,0.0,0.0,8194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR17641761,0.0,185.0,0.0,0.0,28329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6973.0,4.0,0.0,0.0,0.0,2348.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0
SRR17641762,0.0,386.0,0.0,0.0,18806.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17696.0,3.0,0.0,0.0,0.0,3255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
