acc,Bamfordvirae,Fungi,Heunggongvirae,Loebvirae,Metazoa,Orthornavirae,Pararnavirae,Sangervirae,Shotokuvirae,Viridiplantae,class
SRR18588256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,1
SRR18588257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1
SRR18588259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,1
SRR18588260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1
SRR18588261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1
SRR18588262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1
SRR18588263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,1
SRR18588264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1
SRR18588265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,1
SRR18588266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
SRR18588267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,1
SRR18588268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,1
SRR18588269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,1
SRR18588270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,1
SRR18588271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
SRR18588272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,1
SRR18588273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1
SRR18588274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1
SRR18588275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1
SRR18588276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,1
SRR18588277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0
SRR18588278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1
SRR18588279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,1
SRR18588280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,1
SRR18588281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0,1
SRR18588282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1
SRR18588283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1
SRR18588284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1
SRR18588285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1
SRR18588286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1
SRR18588287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1
SRR18588288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0
SRR18588289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1
SRR18588290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1
SRR18588291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1
SRR18588292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,1
SRR18588293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,1
SRR18588294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1
SRR18588295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,1
SRR18588296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,1
SRR18588297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,5.0,1
SRR18588298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1
SRR18588299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1
SRR18588300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1
SRR18588301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,1
SRR18588302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1
SRR18588303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1
SRR18588304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1
SRR18588305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,6.0,1
SRR18588306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,1
SRR18588307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1
SRR18588308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1
SRR18588309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,1
SRR18588310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,1
SRR18588311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1
SRR18588312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0
SRR18588313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1
SRR18588314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1
SRR18588315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,1
SRR18588316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1
SRR18588317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,1
SRR18588318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,1
SRR18588319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,85.0,1
SRR18588320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,1
SRR18588321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1
SRR18588322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1
SRR18588323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,1
SRR18588324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0
SRR18588325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0
SRR18588326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0
SRR18588327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1
SRR18588328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
SRR18588329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1
SRR18588330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0
SRR18588331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0
SRR18588332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0
SRR18588333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0
SRR18588334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0
SRR18588335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0
SRR18588336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0
SRR18588337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0
SRR18588338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0
SRR18588339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0
SRR18588340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,1
SRR18588341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0
SRR18588342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0
SRR18588343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0
SRR18588345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0
SRR18588346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0
SRR18588347,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0
SRR18588348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0
SRR18588349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
SRR18588350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0
SRR18588351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1
SRR18588352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0
SRR18588353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1
SRR18588354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1
SRR18588355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1
SRR18588356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1
SRR18588357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1
SRR18588358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0
SRR18588359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,1
SRR18588360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1
SRR18588361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1
SRR18588362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1
SRR18588363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,1
SRR18588364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,1
SRR18588365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1
SRR18588366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1
SRR18588367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1
SRR18588368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,1
SRR18588369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1
SRR18588370,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,1
SRR18588371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1
SRR18588372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1
SRR18588373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,1
SRR18588374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1
SRR18588375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1
SRR18588376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,1
SRR18588377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,1
SRR18588378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1
SRR18588379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1
SRR18588380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1
SRR18588381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1
SRR18588382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1
SRR18588383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1
SRR18588384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1
SRR18588385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1
SRR18588386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,1
SRR18588387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1
SRR18588388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1
SRR18588389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1
SRR18588390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1
SRR18588391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1
SRR18588392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,1
SRR18588393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0
SRR18588394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1
SRR18588395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0
SRR18588396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1
SRR18588397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0
SRR18588398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,1
SRR18588399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1
SRR18588400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1
SRR18588401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1
SRR18588402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1
SRR18588403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1
SRR18588404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,1
SRR18588405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,1
SRR18588406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1
SRR18588407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,1
SRR18588408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1
SRR18588409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,13.0,1
SRR18588410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,1
SRR18588411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1
SRR18588412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1
SRR18588413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1
SRR18588414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1
SRR18588415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1
SRR18588416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1
SRR18588417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0
SRR18588418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,1
SRR18588419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0
SRR18588420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
SRR18588421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0
SRR18588423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0
SRR18588424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0
SRR18588425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
SRR18588426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0
SRR18588427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0
SRR18588428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
SRR18588429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,1
SRR18588430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
SRR18588431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0
