"smoking","stress","drink_coffee","lung_cancer_risk"
8,4,19,22
4,3,11,11
6,3,12,13
6,2,13,12
6,1,14,15
5,4,14,10
8,3,19,22
5,3,14,15
9,2,19,18
5,1,12,11
8,4,19,23
10,3,22,28
2,3,5,12
4,2,10,12
5,1,11,11
6,4,17,18
4,3,11,11
0,3,4,1
0,2,4,5
8,1,17,19
4,4,12,17
1,3,4,11
5,3,14,18
7,2,15,19
9,1,18,19
4,4,12,13
4,3,11,10
1,3,5,3
6,2,14,13
4,1,8,11
6,4,16,18
6,3,17,12
7,3,17,21
4,2,9,14
6,1,12,18
2,4,7,5
3,3,8,8
3,3,8,8
0,2,-1,1
5,1,12,10
5,4,15,13
4,3,11,9
7,3,16,16
4,2,9,9
2,1,5,6
6,4,16,19
3,3,9,12
8,3,19,17
4,2,11,11
6,1,13,20
6,4,17,15
3,3,9,12
8,3,21,18
6,2,13,18
5,1,13,13
6,4,16,14
6,3,15,19
5,3,13,17
-1,2,0,3
6,1,10,5
4,4,12,13
5,3,13,18
6,3,13,15
8,2,19,16
4,1,8,9
8,4,21,14
6,3,15,12
7,3,16,17
7,2,16,19
6,1,13,14
3,4,11,13
5,3,13,11
6,3,13,20
3,2,7,12
4,1,8,11
6,4,16,16
7,3,17,20
6,3,14,14
3,2,7,6
3,1,7,1
8,4,19,21
6,3,15,9
5,3,12,14
5,2,11,14
3,1,8,10
6,4,15,20
5,3,13,15
5,3,12,11
7,2,15,19
7,1,15,15
8,4,20,15
4,3,12,11
6,3,15,10
8,2,18,15
3,1,10,5
3,4,9,9
3,3,8,12
2,3,6,7
5,2,12,10
6,1,14,11
7,4,18,17
7,3,17,18
3,3,8,11
9,2,21,19
4,1,10,8
5,4,13,16
4,3,12,9
5,3,13,13
5,2,13,12
5,1,11,9
5,4,13,13
5,3,14,13
4,3,10,9
4,2,11,10
2,1,7,1
4,4,11,14
4,3,13,10
10,3,24,26
2,2,5,8
5,1,11,10
2,4,7,8
2,3,6,9
5,3,14,16
3,2,7,10
5,1,11,12
4,4,12,7
4,3,11,12
1,3,5,1
3,2,10,9
5,1,11,9
6,4,15,16
4,3,12,8
5,3,13,13
7,2,16,21
8,1,18,23
3,4,9,3
5,3,14,9
7,3,17,13
4,2,11,7
5,1,10,17
5,4,12,18
3,3,9,9
4,3,10,15
5,2,14,19
4,1,9,11
7,4,18,24
4,3,12,8
4,3,12,8
6,2,15,18
3,1,10,10
5,4,14,17
2,3,9,9
7,3,17,16
4,2,9,13
4,1,7,15
3,4,11,15
5,3,12,9
3,3,9,11
4,2,12,10
8,1,17,17
5,4,14,14
3,3,7,6
5,3,12,15
4,2,9,14
6,1,14,18
8,4,20,22
3,3,9,7
6,3,15,14
5,2,12,11
7,1,15,17
